dataset,rule,scenario,timestamp,co2,pm25,tvoc,temp,humidity,iaqiScore,m_orig,m_no_k,m_no_k_th,rCo2,rPm25,rVoc,rK,rTh
dataset_1_previous_recomputed,bad_not_good(co2>=800 or pm25>=15 or tvoc>=150),orig_m,2026-04-11 23:26:42.253000+00:00,688.6666870117188,25.5,139.75,24.435226440429688,43.207462310791016,0.937,0.9365000000000001,0.3975,0.6792537689208984,0.22166671752929687,0.3,0.3975,0.9365000000000001,0.6792537689208984
dataset_1_previous_recomputed,bad_not_good(co2>=800 or pm25>=15 or tvoc>=150),orig_m,2026-04-11 23:26:48.260000+00:00,688.6666870117188,25.66666603088379,136.6666717529297,24.435226440429688,43.28376007080078,0.874,0.8744999999999998,0.36666671752929686,0.6716239929199219,0.22166671752929687,0.3047618865966797,0.36666671752929686,0.8744999999999998,0.6716239929199219
dataset_1_previous_recomputed,bad_not_good(co2>=800 or pm25>=15 or tvoc>=150),orig_m,2026-04-11 23:26:54.183000+00:00,689.0,26.16666603088379,133.75,24.45792388916016,43.420143127441406,0.824,0.8239999999999998,0.3375,0.6579856872558594,0.2225,0.319047600882394,0.3375,0.8239999999999998,0.6579856872558594
dataset_1_previous_recomputed,bad_not_good(co2>=800 or pm25>=15 or tvoc>=150),orig_m,2026-04-11 23:27:00.180000+00:00,689.6666870117188,26.5,131.1666717529297,24.45258331298828,43.49166870117188,0.788,0.7875000000000001,0.32857142857142857,0.6508331298828118,0.22416671752929687,0.32857142857142857,0.31166671752929687,0.7875000000000001,0.6508331298828118
dataset_1_previous_recomputed,bad_not_good(co2>=800 or pm25>=15 or tvoc>=150),orig_m,2026-04-11 23:27:06.322000+00:00,690.3333129882812,26.66666603088379,129.0,24.439231872558597,43.46782302856445,0.764,0.7639999999999998,0.33333331516810827,0.6532176971435547,0.2258332824707031,0.33333331516810827,0.29,0.7639999999999998,0.6532176971435547
dataset_1_previous_recomputed,bad_not_good(co2>=800 or pm25>=15 or tvoc>=150),orig_m,2026-04-11 23:27:12.191000+00:00,691.3333129882812,26.66666603088379,127.16666412353516,24.44590759277344,43.3829460144043,0.754,0.754,0.33333331516810827,0.6617053985595703,0.22833328247070311,0.33333331516810827,0.27166664123535156,0.754,0.6617053985595703
dataset_1_previous_recomputed,bad_not_good(co2>=800 or pm25>=15 or tvoc>=150),orig_m,2026-04-11 23:27:19.026000+00:00,692.0,26.83333396911621,125.66666412353516,24.419204711914062,43.458290100097656,0.757,0.7565,0.33809525626046316,0.6541709899902344,0.23,0.33809525626046316,0.25666664123535154,0.7565,0.6541709899902344
dataset_1_previous_recomputed,bad_not_good(co2>=800 or pm25>=15 or tvoc>=150),orig_m,2026-04-11 23:27:25.097000+00:00,692.6666870117188,27.16666603088379,124.25,24.42053985595703,43.50311279296875,0.767,0.7665000000000002,0.34761902945382256,0.649688720703125,0.23166671752929688,0.34761902945382256,0.2425,0.7665000000000002,0.649688720703125
dataset_1_previous_recomputed,bad_not_good(co2>=800 or pm25>=15 or tvoc>=150),orig_m,2026-04-11 23:27:31.874000+00:00,693.0,27.33333396911621,122.08333587646484,24.45792388916016,43.52408981323242,0.784,0.7839999999999998,0.35238097054617745,0.6475910186767578,0.2325,0.35238097054617745,0.22083335876464844,0.7839999999999998,0.6475910186767578
dataset_1_previous_recomputed,bad_not_good(co2>=800 or pm25>=15 or tvoc>=150),orig_m,2026-04-11 23:27:38.615000+00:00,693.0,27.16666603088379,120.5,24.45525360107422,43.580360412597656,0.809,0.8085,0.34761902945382256,0.6419639587402344,0.2325,0.34761902945382256,0.205,0.8085,0.6419639587402344
dataset_1_previous_recomputed,bad_not_good(co2>=800 or pm25>=15 or tvoc>=150),orig_m,2026-04-11 23:27:44.040000+00:00,692.6666870117188,26.83333396911621,120.0,24.439231872558597,43.71769332885742,0.836,0.8355000000000001,0.33809525626046316,0.6282306671142578,0.23166671752929688,0.33809525626046316,0.2,0.8355000000000001,0.6282306671142578
dataset_1_previous_recomputed,bad_not_good(co2>=800 or pm25>=15 or tvoc>=150),orig_m,2026-04-11 23:27:49.951000+00:00,692.0,27.0,119.58333587646484,24.437896728515625,43.98090744018555,0.868,0.8675000000000002,0.34285714285714286,0.6019092559814453,0.23,0.34285714285714286,0.19583335876464844,0.8675000000000002,0.6019092559814453
dataset_1_previous_recomputed,bad_not_good(co2>=800 or pm25>=15 or tvoc>=150),orig_m,2026-04-11 23:27:56.097000+00:00,691.3333129882812,26.83333396911621,119.41666412353516,24.436561584472656,44.25652313232422,0.905,0.9045000000000001,0.33809525626046316,0.5743476867675781,0.22833328247070311,0.33809525626046316,0.19416664123535157,0.9045000000000001,0.5743476867675781
dataset_1_previous_recomputed,bad_not_good(co2>=800 or pm25>=15 or tvoc>=150),orig_m,2026-04-11 23:28:02.005000+00:00,691.0,26.33333396911621,119.58333587646484,24.44056701660156,44.150665283203125,0.949,0.9489999999999998,0.32380954197474887,0.5849334716796875,0.2275,0.32380954197474887,0.19583335876464844,0.9489999999999998,0.5849334716796875
dataset_1_previous_recomputed,bad_not_good(co2>=800 or pm25>=15 or tvoc>=150),orig_m,2026-04-11 23:28:08.100000+00:00,690.6666870117188,25.66666603088379,120.16666412353516,24.45391845703125,43.81687545776367,0.998,0.9980000000000002,0.3047618865966797,0.6183124542236328,0.22666671752929687,0.3047618865966797,0.20166664123535155,0.9980000000000002,0.6183124542236328
dataset_1_previous_recomputed,bad_not_good(co2>=800 or pm25>=15 or tvoc>=150),orig_m,2026-04-11 23:37:53.760000+00:00,580.0,27.16666603088379,184.0,24.428550720214844,43.7701416015625,0.858,0.8584999999999998,0.84,0.84,0.0,0.34761902945382256,0.84,0.8584999999999998,0.62298583984375
dataset_1_previous_recomputed,bad_not_good(co2>=800 or pm25>=15 or tvoc>=150),orig_m,2026-04-11 23:37:59.818000+00:00,579.0,26.66666603088379,182.4166717529297,24.40985870361328,44.34521484375,0.824,0.8241667175292968,0.8241667175292968,0.8241667175292968,0.0,0.33333331516810827,0.8241667175292968,0.6930000000000001,0.565478515625
dataset_1_previous_recomputed,bad_not_good(co2>=800 or pm25>=15 or tvoc>=150),orig_m,2026-04-11 23:38:05.801000+00:00,578.3333129882812,26.0,180.0833282470703,24.41119384765625,44.45488739013672,0.801,0.8008332824707032,0.8008332824707032,0.8008332824707032,0.0,0.3142857142857143,0.8008332824707032,0.5305,0.5545112609863281
dataset_1_previous_recomputed,bad_not_good(co2>=800 or pm25>=15 or tvoc>=150),orig_m,2026-04-11 23:38:11.764000+00:00,578.3333129882812,25.66666603088379,178.5833282470703,24.425880432128903,44.02953720092773,0.786,0.7858332824707032,0.7858332824707032,0.7858332824707032,0.0,0.3047618865966797,0.7858332824707032,0.3730000000000002,0.5970462799072273
dataset_1_previous_recomputed,bad_not_good(co2>=800 or pm25>=15 or tvoc>=150),orig_m,2026-04-11 23:38:24.826000+00:00,579.0,25.33333396911621,177.9166717529297,24.425880432128903,44.02953720092773,0.779,0.7791667175292969,0.7791667175292969,0.7791667175292969,0.0,0.2952381134033203,0.7791667175292969,0.11699999999999999,0.5970462799072273
dataset_1_previous_recomputed,bad_not_good(co2>=800 or pm25>=15 or tvoc>=150),no_k_m,2026-04-11 18:33:40.608000+00:00,999.3333129882812,12.333333015441896,127.83333587646484,23.269630432128903,48.572975158691406,2.733,2.7325,0.9983332824707031,0.9983332824707031,0.9983332824707031,0.0,0.27833335876464843,2.7325,0.18259239196777433
dataset_1_previous_recomputed,bad_not_good(co2>=800 or pm25>=15 or tvoc>=150),no_k_m,2026-04-11 18:33:46.382000+00:00,997.3333129882812,12.5,127.33333587646484,23.268295288085938,49.76604461669922,2.721,2.721,0.9933332824707031,0.9933332824707031,0.9933332824707031,0.0,0.2733333587646484,2.721,0.18292617797851562
dataset_1_previous_recomputed,bad_not_good(co2>=800 or pm25>=15 or tvoc>=150),no_k_m,2026-04-11 18:33:52.428000+00:00,994.3333129882812,12.666666984558104,126.33333587646484,23.27363586425781,50.392616271972656,2.707,2.7065,0.9858332824707031,0.9858332824707031,0.9858332824707031,0.0,0.2633333587646484,2.7065,0.18159103393554776
dataset_1_previous_recomputed,bad_not_good(co2>=800 or pm25>=15 or tvoc>=150),no_k_m,2026-04-11 18:33:58.561000+00:00,991.6666870117188,13.0,125.83333587646484,23.2869873046875,50.239070892333984,2.69,2.69,0.9791667175292968,0.9791667175292968,0.9791667175292968,0.0,0.2583333587646484,2.69,0.178253173828125
dataset_1_previous_recomputed,bad_not_good(co2>=800 or pm25>=15 or tvoc>=150),no_k_m,2026-04-11 18:34:06.048000+00:00,988.6666870117188,13.333333015441896,125.41666412353516,23.281646728515625,49.93960952758789,2.665,2.6654999999999998,0.9716667175292969,0.9716667175292969,0.9716667175292969,0.0,0.25416664123535154,2.6654999999999998,0.17958831787109375
dataset_1_previous_recomputed,bad_not_good(co2>=800 or pm25>=15 or tvoc>=150),no_k_m,2026-04-11 18:34:11.668000+00:00,985.6666870117188,13.666666984558104,125.0,23.281646728515625,49.87857818603516,2.645,2.645,0.9641667175292968,0.9641667175292968,0.9641667175292968,0.0,0.25,2.645,0.17958831787109375
dataset_1_previous_recomputed,bad_not_good(co2>=800 or pm25>=15 or tvoc>=150),no_k_m,2026-04-11 18:34:18.633000+00:00,982.6666870117188,14.166666984558104,124.66666412353516,23.282981872558597,50.087432861328125,2.623,2.6225,0.9566667175292969,0.9566667175292969,0.9566667175292969,0.0,0.24666664123535156,2.6225,0.17925453186035067
