dataset,scenario,start,end,duration_min,points
dataset_1_previous_recomputed,orig_air_only,2026-04-12 01:29:50.031000+00:00,2026-04-12 01:31:58.485000+00:00,2.14,22
dataset_1_previous_recomputed,orig_air_only,2026-04-12 01:32:10.333000+00:00,2026-04-12 01:32:47.744000+00:00,0.62,7
dataset_1_previous_recomputed,orig_air_only,2026-04-12 01:33:43.190000+00:00,2026-04-12 01:34:12.789000+00:00,0.49,6
dataset_1_previous_recomputed,orig_air_only,2026-04-12 01:35:09.571000+00:00,2026-04-12 01:35:47.560000+00:00,0.63,7
dataset_1_previous_recomputed,orig_air_only,2026-04-12 01:36:43.205000+00:00,2026-04-12 01:39:52.106000+00:00,3.15,30
dataset_1_previous_recomputed,orig_air_only,2026-04-12 01:41:16.976000+00:00,2026-04-12 01:42:38.121000+00:00,1.35,14
dataset_1_previous_recomputed,orig_air_only,2026-04-12 01:43:58.390000+00:00,2026-04-12 01:45:52.756000+00:00,1.91,19
dataset_1_previous_recomputed,orig_air_only,2026-04-12 01:46:05.555000+00:00,2026-04-12 01:48:57.244000+00:00,2.86,29
dataset_1_previous_recomputed,orig_air_only,2026-04-12 01:50:28.762000+00:00,2026-04-12 01:58:18.674000+00:00,7.83,78
dataset_1_previous_recomputed,orig_air_only,2026-04-12 01:59:20.848000+00:00,2026-04-12 01:59:53.182000+00:00,0.54,6
dataset_1_previous_recomputed,orig_air_only,2026-04-12 02:00:11.713000+00:00,2026-04-12 02:02:08.644000+00:00,1.95,20
dataset_1_previous_recomputed,orig_air_only,2026-04-12 02:03:04.822000+00:00,2026-04-12 02:03:29.437000+00:00,0.41,5
dataset_1_previous_recomputed,orig_air_only,2026-04-12 02:04:30.308000+00:00,2026-04-12 02:08:30.172000+00:00,4.0,40
dataset_1_previous_recomputed,orig_air_only,2026-04-12 02:09:13.034000+00:00,2026-04-12 02:14:05.187000+00:00,4.87,48
dataset_1_previous_recomputed,orig_air_only,2026-04-12 02:19:48.229000+00:00,2026-04-12 02:21:50.649000+00:00,2.04,21
dataset_1_previous_recomputed,orig_air_only,2026-04-12 02:22:26.585000+00:00,2026-04-12 02:50:43.846000+00:00,28.29,275
dataset_1_previous_recomputed,orig_full_good,2026-04-12 02:03:23.405000+00:00,2026-04-12 02:03:29.437000+00:00,0.1,2
dataset_1_previous_recomputed,orig_full_good,2026-04-12 02:46:08.081000+00:00,2026-04-12 02:50:43.846000+00:00,4.6,46
dataset_1_previous_recomputed,no_k_th_air_only,2026-04-12 01:29:50.031000+00:00,2026-04-12 01:31:58.485000+00:00,2.14,22
dataset_1_previous_recomputed,no_k_th_air_only,2026-04-12 01:32:10.333000+00:00,2026-04-12 01:32:47.744000+00:00,0.62,7
dataset_1_previous_recomputed,no_k_th_air_only,2026-04-12 01:33:43.190000+00:00,2026-04-12 01:34:12.789000+00:00,0.49,6
dataset_1_previous_recomputed,no_k_th_air_only,2026-04-12 01:35:09.571000+00:00,2026-04-12 01:35:47.560000+00:00,0.63,7
dataset_1_previous_recomputed,no_k_th_air_only,2026-04-12 01:36:43.205000+00:00,2026-04-12 01:39:52.106000+00:00,3.15,30
dataset_1_previous_recomputed,no_k_th_air_only,2026-04-12 01:41:16.976000+00:00,2026-04-12 01:42:38.121000+00:00,1.35,14
dataset_1_previous_recomputed,no_k_th_air_only,2026-04-12 01:43:58.390000+00:00,2026-04-12 01:45:52.756000+00:00,1.91,19
dataset_1_previous_recomputed,no_k_th_air_only,2026-04-12 01:46:05.555000+00:00,2026-04-12 01:48:57.244000+00:00,2.86,29
dataset_1_previous_recomputed,no_k_th_air_only,2026-04-12 01:50:28.762000+00:00,2026-04-12 01:58:18.674000+00:00,7.83,78
dataset_1_previous_recomputed,no_k_th_air_only,2026-04-12 01:59:20.848000+00:00,2026-04-12 01:59:53.182000+00:00,0.54,6
dataset_1_previous_recomputed,no_k_th_air_only,2026-04-12 02:00:11.713000+00:00,2026-04-12 02:03:17.394000+00:00,3.09,31
dataset_1_previous_recomputed,no_k_th_air_only,2026-04-12 02:04:30.308000+00:00,2026-04-12 02:14:05.187000+00:00,9.58,94
dataset_1_previous_recomputed,no_k_th_air_only,2026-04-12 02:19:48.229000+00:00,2026-04-12 02:21:50.649000+00:00,2.04,21
dataset_1_previous_recomputed,no_k_th_air_only,2026-04-12 02:22:26.585000+00:00,2026-04-12 02:46:02.046000+00:00,23.59,229
