dataset,scenario,timestamp,co2,pm25,tvoc,temp,humidity,iaqiScore,m_orig,m_no_k,m_no_k_th,rK,rTh
dataset_1_previous_recomputed,orig_air_only,2026-04-12 01:29:50.031000+00:00,754.3333129882812,14.833333015441896,48.66666793823242,24.96528625488281,39.73320770263672,3.0,3.0,0.38583328247070314,1.026679229736328,3.0,1.026679229736328
dataset_1_previous_recomputed,orig_air_only,2026-04-12 01:29:56.043000+00:00,753.0,14.166666984558104,48.83333206176758,24.953269958496094,39.706504821777344,3.0,3.0,0.3825,1.0293495178222656,3.0,1.0293495178222656
dataset_1_previous_recomputed,orig_air_only,2026-04-12 01:30:02.097000+00:00,751.6666870117188,13.833333015441896,48.91666793823242,24.95861053466797,39.593971252441406,3.0,3.0,0.37916671752929687,1.0406028747558593,3.0,1.0406028747558593
dataset_1_previous_recomputed,orig_air_only,2026-04-12 01:30:08.176000+00:00,751.0,13.5,49.0,24.962615966796875,39.44805908203125,3.0,3.0,0.3775,1.055194091796875,3.0,1.055194091796875
dataset_1_previous_recomputed,orig_air_only,2026-04-12 01:30:14.074000+00:00,750.0,13.0,49.0,24.949264526367188,39.43470764160156,3.0,3.0,0.375,1.0565292358398437,3.0,1.0565292358398437
dataset_1_previous_recomputed,orig_air_only,2026-04-12 01:30:20.866000+00:00,749.3333129882812,12.666666984558104,49.0,24.94792938232422,39.51386642456055,3.0,3.0,0.37333328247070313,1.0486133575439454,3.0,1.0486133575439454
dataset_1_previous_recomputed,orig_air_only,2026-04-12 01:30:26.773000+00:00,749.3333129882812,12.666666984558104,49.0,24.95861053466797,39.55582809448242,3.0,3.0,0.37333328247070313,1.0444171905517579,3.0,1.0444171905517579
dataset_1_previous_recomputed,orig_air_only,2026-04-12 01:30:33.568000+00:00,749.6666870117188,13.0,49.0,24.95861053466797,39.62544250488281,3.0,3.0,0.37416671752929687,1.0374557495117187,3.0,1.0374557495117187
dataset_1_previous_recomputed,orig_air_only,2026-04-12 01:30:39.183000+00:00,750.0,13.166666984558104,49.0,24.95594024658203,39.75323486328125,3.0,3.0,0.375,1.024676513671875,3.0,1.024676513671875
dataset_1_previous_recomputed,orig_air_only,2026-04-12 01:30:45.811000+00:00,749.6666870117188,13.333333015441896,49.0,24.95059967041016,39.84383392333984,3.0,3.0,0.37416671752929687,1.0156166076660162,3.0,1.0156166076660162
dataset_1_previous_recomputed,orig_air_only,2026-04-12 01:30:51.750000+00:00,749.0,13.5,49.0,24.94659423828125,39.86576843261719,3.0,3.0,0.3725,1.0134231567382812,3.0,1.0134231567382812
dataset_1_previous_recomputed,orig_air_only,2026-04-12 01:30:57.812000+00:00,747.3333129882812,13.666666984558104,49.0,24.959945678710938,39.84860229492188,3.0,3.0,0.3683332824707031,1.0151397705078118,3.0,1.0151397705078118
dataset_1_previous_recomputed,orig_air_only,2026-04-12 01:31:03.695000+00:00,745.6666870117188,13.833333015441896,49.0,24.954605102539062,39.73892974853516,3.0,3.0,0.36416671752929686,1.0261070251464837,3.0,1.0261070251464837
dataset_1_previous_recomputed,orig_air_only,2026-04-12 01:31:09.716000+00:00,744.3333129882812,13.5,49.0,24.961280822753903,39.59587860107422,3.0,3.0,0.3608332824707031,1.040412139892578,3.0,1.040412139892578
dataset_1_previous_recomputed,orig_air_only,2026-04-12 01:31:15.682000+00:00,743.3333129882812,13.166666984558104,49.0,24.96929168701172,39.57966613769531,3.0,3.0,0.3583332824707031,1.0420333862304687,3.0,1.0420333862304687
dataset_1_previous_recomputed,orig_air_only,2026-04-12 01:31:22.334000+00:00,743.3333129882812,12.666666984558104,49.0,24.957275390625,39.53865814208984,3.0,3.0,0.3583332824707031,1.0461341857910162,3.0,1.0461341857910162
dataset_1_previous_recomputed,orig_air_only,2026-04-12 01:31:28.224000+00:00,743.6666870117188,12.666666984558104,49.0,24.959945678710938,39.49478912353516,3.0,3.0,0.35916671752929685,1.0505210876464837,3.0,1.0505210876464837
dataset_1_previous_recomputed,orig_air_only,2026-04-12 01:31:35.023000+00:00,745.3333129882812,13.0,49.0,24.98397827148437,39.49574279785156,3.0,3.0,0.3633332824707031,1.0504257202148437,3.0,1.0504257202148437
dataset_1_previous_recomputed,orig_air_only,2026-04-12 01:31:40.191000+00:00,747.3333129882812,13.166666984558104,49.0,24.994659423828125,39.38893127441406,3.0,3.0,0.3683332824707031,1.0611068725585937,3.0,1.0611068725585937
dataset_1_previous_recomputed,orig_air_only,2026-04-12 01:31:46.474000+00:00,749.6666870117188,13.5,49.0,24.98798370361328,39.36508941650391,3.0,3.0,0.37416671752929687,1.0634910583496087,3.0,1.0634910583496087
