dataset,type,start,end,duration_min,points
previous_recomputed,over_alert_nok_th,2026-04-12 01:29:50.031000+00:00,2026-04-12 01:31:58.485000+00:00,2.14,22
previous_recomputed,over_alert_nok_th,2026-04-12 01:32:10.333000+00:00,2026-04-12 01:32:47.744000+00:00,0.62,7
previous_recomputed,over_alert_nok_th,2026-04-12 01:33:43.190000+00:00,2026-04-12 01:34:12.789000+00:00,0.49,6
previous_recomputed,over_alert_nok_th,2026-04-12 01:35:09.571000+00:00,2026-04-12 01:35:47.560000+00:00,0.63,7
previous_recomputed,over_alert_nok_th,2026-04-12 01:36:43.205000+00:00,2026-04-12 01:39:52.106000+00:00,3.15,30
previous_recomputed,over_alert_nok_th,2026-04-12 01:41:16.976000+00:00,2026-04-12 01:42:38.121000+00:00,1.35,14
previous_recomputed,over_alert_nok_th,2026-04-12 01:43:58.390000+00:00,2026-04-12 01:45:52.756000+00:00,1.91,19
previous_recomputed,over_alert_nok_th,2026-04-12 01:46:05.555000+00:00,2026-04-12 01:48:57.244000+00:00,2.86,29
previous_recomputed,over_alert_nok_th,2026-04-12 01:50:28.762000+00:00,2026-04-12 01:58:18.674000+00:00,7.83,78
previous_recomputed,over_alert_nok_th,2026-04-12 01:59:20.848000+00:00,2026-04-12 01:59:53.182000+00:00,0.54,6
previous_recomputed,over_alert_nok_th,2026-04-12 02:00:11.713000+00:00,2026-04-12 02:03:17.394000+00:00,3.09,31
previous_recomputed,over_alert_nok_th,2026-04-12 02:03:29.437000+00:00,2026-04-12 02:03:29.437000+00:00,0.0,1
previous_recomputed,over_alert_nok_th,2026-04-12 02:04:30.308000+00:00,2026-04-12 02:14:05.187000+00:00,9.58,94
previous_recomputed,over_alert_nok_th,2026-04-12 02:19:48.229000+00:00,2026-04-12 02:21:50.649000+00:00,2.04,21
previous_recomputed,over_alert_nok_th,2026-04-12 02:22:26.585000+00:00,2026-04-12 02:46:02.046000+00:00,23.59,229
previous_recomputed,thermal_driven_alert,2026-04-12 01:29:50.031000+00:00,2026-04-12 01:31:58.485000+00:00,2.14,22
previous_recomputed,thermal_driven_alert,2026-04-12 01:32:10.333000+00:00,2026-04-12 01:32:47.744000+00:00,0.62,7
previous_recomputed,thermal_driven_alert,2026-04-12 01:33:43.190000+00:00,2026-04-12 01:34:12.789000+00:00,0.49,6
previous_recomputed,thermal_driven_alert,2026-04-12 01:35:09.571000+00:00,2026-04-12 01:35:47.560000+00:00,0.63,7
previous_recomputed,thermal_driven_alert,2026-04-12 01:36:43.205000+00:00,2026-04-12 01:39:52.106000+00:00,3.15,30
previous_recomputed,thermal_driven_alert,2026-04-12 01:41:16.976000+00:00,2026-04-12 01:42:38.121000+00:00,1.35,14
previous_recomputed,thermal_driven_alert,2026-04-12 01:43:58.390000+00:00,2026-04-12 01:45:52.756000+00:00,1.91,19
previous_recomputed,thermal_driven_alert,2026-04-12 01:46:05.555000+00:00,2026-04-12 01:48:57.244000+00:00,2.86,29
previous_recomputed,thermal_driven_alert,2026-04-12 01:50:28.762000+00:00,2026-04-12 01:58:18.674000+00:00,7.83,78
previous_recomputed,thermal_driven_alert,2026-04-12 01:59:20.848000+00:00,2026-04-12 01:59:53.182000+00:00,0.54,6
previous_recomputed,thermal_driven_alert,2026-04-12 02:00:11.713000+00:00,2026-04-12 02:03:17.394000+00:00,3.09,31
previous_recomputed,thermal_driven_alert,2026-04-12 02:03:29.437000+00:00,2026-04-12 02:03:29.437000+00:00,0.0,1
previous_recomputed,thermal_driven_alert,2026-04-12 02:04:30.308000+00:00,2026-04-12 02:14:05.187000+00:00,9.58,94
previous_recomputed,thermal_driven_alert,2026-04-12 02:19:48.229000+00:00,2026-04-12 02:21:50.649000+00:00,2.04,21
previous_recomputed,thermal_driven_alert,2026-04-12 02:22:26.585000+00:00,2026-04-12 02:46:02.046000+00:00,23.59,229
