source_collection,timestamp,co2,createdAt,expireAt,humidity,iaqi.e_score,iaqi.i_score,iaqi.m_score,iaqi.primary_grade,iaqi.sub_level,iaqiScore,k,macAddress,nox,pm25,temp,tvoc,kEffective,kSource,kCo2,kPm25,kR2Co2,kR2Pm25,kSampleCountCo2,kSampleCountPm25,rCo2,rPm25,rVoc,rTh,iaqi_nok_th,iaqi_nok_th_e,iaqi_nok_th_i,dominant_nok_th,grade_nok_th
history,2026-04-11 18:06:47.177000+00:00,1016.3333129882812,2026-04-11T18:06:47.177Z,2026-05-11T18:06:46.699Z,44.80207824707031,1.529,,2.489,나쁨,중간수준 악화 (나쁨-2),2.489,1.023,,1.0,10.0,26.9066162109375,99.5,1.023,computed_co2_regression,1.023,7.666,0.9793,0.58,16,16,1.0408332824707032,0.0,0.0,0.726654052734375,1.041,0.041,,rCo2,나쁨
history,2026-04-11 18:06:53.075000+00:00,1015.6666870117188,2026-04-11T18:06:53.075Z,2026-05-11T18:06:52.600Z,44.8306884765625,1.531,,2.492,나쁨,중간수준 악화 (나쁨-2),2.492,1.016,,1.0,10.5,26.902610778808597,99.41666412353516,1.016,computed_co2_regression,1.016,5.788,0.9826,0.4018,17,17,1.039166717529297,0.0,0.0,0.7256526947021493,1.039,0.039,,rCo2,나쁨
history,2026-04-11 18:06:59.320000+00:00,1015.0,2026-04-11T18:06:59.320Z,2026-05-11T18:06:58.839Z,44.86311340332031,1.536,,2.499,나쁨,중간수준 악화 (나쁨-2),2.499,1.003,,1.0,10.833333015441896,26.910621643066406,99.33333587646484,1.003,computed_co2_regression,1.003,4.171,0.9845,0.2412,18,18,1.0375,0.0,0.0,0.7276554107666016,1.038,0.038,,rCo2,나쁨
history,2026-04-11 18:07:05.185000+00:00,1015.0,2026-04-11T18:07:05.185Z,2026-05-11T18:07:04.707Z,44.86215972900391,1.552,,2.515,나쁨,중간수준 악화 (나쁨-2),2.515,0.971,,1.0,11.5,26.899940490722656,99.25,0.971,computed_co2_regression,0.971,2.188,0.982,0.0673,19,19,1.0375,0.0,0.0,0.7249851226806641,1.038,0.038,,rCo2,나쁨
history,2026-04-11 18:07:11.067000+00:00,1015.0,2026-04-11T18:07:11.067Z,2026-05-11T18:07:10.590Z,44.91079711914063,1.571,,2.533,나쁨,중간수준 악화 (나쁨-2),2.533,0.934,,1.0,12.166666984558104,26.899940490722656,99.16666412353516,0.934,computed_co2_regression,0.934,0.26,0.9758,0.0009,20,20,1.0375,0.0,0.0,0.7249851226806641,1.038,0.038,,rCo2,나쁨
history,2026-04-11 18:07:17.991000+00:00,1014.6666870117188,2026-04-11T18:07:17.991Z,2026-05-11T18:07:17.505Z,44.92510223388672,1.588,,2.551,나쁨,중간수준 악화 (나쁨-2),2.551,0.898,,1.0,12.833333015441896,26.889259338378903,99.08333587646484,0.898,computed_co2_regression,0.898,0.0,0.9692,0.0285,21,21,1.036666717529297,0.0,0.0,0.7223148345947257,1.037,0.037,,rCo2,나쁨
history,2026-04-11 18:07:24.968000+00:00,1014.3333129882812,2026-04-11T18:07:24.968Z,2026-05-11T18:07:24.487Z,44.91079711914063,1.604,,2.569,나쁨,중간수준 악화 (나쁨-2),2.569,0.863,,1.0,13.333333015441896,26.88525390625,99.0,0.863,computed_co2_regression,0.863,0.0,0.9618,0.0996,22,22,1.035833282470703,0.0,0.0,0.7213134765625,1.036,0.036,,rCo2,나쁨
history,2026-04-11 18:07:30.913000+00:00,1013.6666870117188,2026-04-11T18:07:30.913Z,2026-05-11T18:07:30.422Z,45.01570129394531,1.615,,2.581,나쁨,중간수준 악화 (나쁨-2),2.581,0.839,,1.0,13.5,26.887924194335938,99.0,0.839,computed_co2_regression,0.839,0.0,0.9596,0.1712,23,23,1.0341667175292968,0.0,0.0,0.7219810485839844,1.034,0.034,,rCo2,나쁨
history,2026-04-11 18:07:36.997000+00:00,1013.6666870117188,2026-04-11T18:07:36.997Z,2026-05-11T18:07:36.522Z,45.16065979003906,1.631,,2.597,나쁨,중간수준 악화 (나쁨-2),2.597,0.807,,1.0,13.5,26.89326477050781,99.08333587646484,0.807,computed_co2_regression,0.807,0.0,0.9517,0.235,24,24,1.0341667175292968,0.0,0.0,0.7233161926269522,1.034,0.034,,rCo2,나쁨
history,2026-04-11 18:07:42.886000+00:00,1014.0,2026-04-11T18:07:42.886Z,2026-05-11T18:07:42.405Z,45.26079559326172,1.65,,2.616,나쁨,중간수준 악화 (나쁨-2),2.616,0.769,,1.0,13.333333015441896,26.89727020263672,99.16666412353516,0.769,computed_co2_regression,0.769,0.0,0.9381,0.2852,25,25,1.035,0.0,0.0,0.7243175506591797,1.035,0.035,,rCo2,나쁨
