"source_collection","timestamp","co2","createdAt","expireAt","humidity","iaqi.e_score","iaqi.i_score","iaqi.m_score","iaqi.primary_grade","iaqi.sub_level","iaqiScore","k","macAddress","nox","pm25","temp","tvoc"
"history","2026-04-11T18:05:21.528Z","1032","2026-04-11T18:05:21.528Z","2026-05-11T18:05:21.051Z","45.196895599365234","0.08","","1.08","나쁨","경미한 악화 (나쁨-1)","1.08","",,"1","12.333333015441895","26.901275634765625","100"
"series","2026-04-11T18:05:26.712Z","1030.3333740234375",,"2026-05-11T18:05:26.621Z","45.048126220703125","0.076","","1.076","나쁨","경미한 악화 (나쁨-1)","1.076","","d83bda1d5960","1","12.166666984558105","26.9066162109375","100"
"history","2026-04-11T18:05:27.100Z","1030.3333740234375","2026-04-11T18:05:27.100Z","2026-05-11T18:05:26.621Z","45.048126220703125","0.076","","1.076","나쁨","경미한 악화 (나쁨-1)","1.076","",,"1","12.166666984558105","26.9066162109375","100"
"series","2026-04-11T18:05:32.618Z","1028.3333740234375",,"2026-05-11T18:05:32.527Z","45.00425720214844","0.071","","1.071","나쁨","경미한 악화 (나쁨-1)","1.071","","d83bda1d5960","1","11.666666984558105","26.9066162109375","100"
"history","2026-04-11T18:05:33.006Z","1028.3333740234375","2026-04-11T18:05:33.006Z","2026-05-11T18:05:32.527Z","45.00425720214844","0.071","","1.071","나쁨","경미한 악화 (나쁨-1)","1.071","",,"1","11.666666984558105","26.9066162109375","100"
"series","2026-04-11T18:05:38.677Z","1027",,"2026-05-11T18:05:38.586Z","44.918426513671875","0.067","","1.068","나쁨","경미한 악화 (나쁨-1)","1.068","","d83bda1d5960","1","11","26.89727020263672","100"
"history","2026-04-11T18:05:39.068Z","1027","2026-04-11T18:05:39.068Z","2026-05-11T18:05:38.586Z","44.918426513671875","0.067","","1.068","나쁨","경미한 악화 (나쁨-1)","1.068","",,"1","11","26.89727020263672","100"
"series","2026-04-11T18:05:44.823Z","1026.3333740234375",,"2026-05-11T18:05:44.732Z","44.85357666015625","0.066","","1.066","나쁨","경미한 악화 (나쁨-1)","1.066","","d83bda1d5960","1","10.166666984558105","26.910621643066406","100"
"history","2026-04-11T18:05:45.208Z","1026.3333740234375","2026-04-11T18:05:45.208Z","2026-05-11T18:05:44.732Z","44.85357666015625","0.066","","1.066","나쁨","경미한 악화 (나쁨-1)","1.066","",,"1","10.166666984558105","26.910621643066406","100"
"series","2026-04-11T18:05:50.726Z","1026",,"2026-05-11T18:05:50.631Z","44.799217224121094","0.065","","1.065","나쁨","경미한 악화 (나쁨-1)","1.065","","d83bda1d5960","1","9.833333015441895","26.919967651367188","100"
"history","2026-04-11T18:05:51.127Z","1026","2026-04-11T18:05:51.127Z","2026-05-11T18:05:50.631Z","44.799217224121094","0.065","","1.065","나쁨","경미한 악화 (나쁨-1)","1.065","",,"1","9.833333015441895","26.919967651367188","100"
"series","2026-04-11T18:05:57.029Z","1025.6666259765625",,"2026-05-11T18:05:56.935Z","44.75916290283203","0.064","","1.064","나쁨","경미한 악화 (나쁨-1)","1.064","","d83bda1d5960","1","10","26.91729736328125","100"
"history","2026-04-11T18:05:57.438Z","1025.6666259765625","2026-04-11T18:05:57.438Z","2026-05-11T18:05:56.935Z","44.75916290283203","0.064","","1.064","나쁨","경미한 악화 (나쁨-1)","1.064","",,"1","10","26.91729736328125","100"
"series","2026-04-11T18:06:02.668Z","1025.3333740234375",,"2026-05-11T18:06:02.576Z","44.742950439453125","0.063","","1.063","나쁨","경미한 악화 (나쁨-1)","1.063","","d83bda1d5960","1","10","26.909286499023438","100"
"history","2026-04-11T18:06:03.067Z","1025.3333740234375","2026-04-11T18:06:03.067Z","2026-05-11T18:06:02.576Z","44.742950439453125","0.063","","1.063","나쁨","경미한 악화 (나쁨-1)","1.063","",,"1","10","26.909286499023438","100"
"series","2026-04-11T18:06:08.703Z","1024",,"2026-05-11T18:06:08.612Z","44.75916290283203","0.06","","1.06","나쁨","경미한 악화 (나쁨-1)","1.06","","d83bda1d5960","1","9.833333015441895","26.914627075195312","100"
"history","2026-04-11T18:06:09.101Z","1024","2026-04-11T18:06:09.101Z","2026-05-11T18:06:08.612Z","44.75916290283203","0.06","","1.06","나쁨","경미한 악화 (나쁨-1)","1.06","",,"1","9.833333015441895","26.914627075195312","100"
"series","2026-04-11T18:06:15.886Z","1022.6666870117188",,"2026-05-11T18:06:15.797Z","44.76774597167969","0.057","","1.057","나쁨","경미한 악화 (나쁨-1)","1.057","","d83bda1d5960","1","9.666666984558105","26.91863250732422","99.91666412353516"
"history","2026-04-11T18:06:16.275Z","1022.6666870117188","2026-04-11T18:06:16.275Z","2026-05-11T18:06:15.797Z","44.76774597167969","0.057","","1.057","나쁨","경미한 악화 (나쁨-1)","1.057","",,"1","9.666666984558105","26.91863250732422","99.91666412353516"
"series","2026-04-11T18:06:23.280Z","1020.6666870117188",,"2026-05-11T18:06:23.184Z","44.784912109375","0.052","","1.052","나쁨","경미한 악화 (나쁨-1)","1.052","","d83bda1d5960","1","10","26.903945922851562","99.83333587646484"
"history","2026-04-11T18:06:23.682Z","1020.6666870117188","2026-04-11T18:06:23.682Z","2026-05-11T18:06:23.184Z","44.784912109375","0.052","","1.052","나쁨","경미한 악화 (나쁨-1)","1.052","",,"1","10","26.903945922851562","99.83333587646484"
"series","2026-04-11T18:06:28.694Z","1019.3333129882812",,"2026-05-11T18:06:28.594Z","44.80780029296875","0.048","","1.048","나쁨","경미한 악화 (나쁨-1)","1.048","","d83bda1d5960","1","10","26.91863250732422","99.75"
"history","2026-04-11T18:06:29.081Z","1019.3333129882812","2026-04-11T18:06:29.081Z","2026-05-11T18:06:28.594Z","44.80780029296875","0.048","","1.048","나쁨","경미한 악화 (나쁨-1)","1.048","",,"1","10","26.91863250732422","99.75"
"series","2026-04-11T18:06:34.792Z","1018",,"2026-05-11T18:06:34.696Z","44.796356201171875","0.045","","1.045","나쁨","경미한 악화 (나쁨-1)","1.045","","d83bda1d5960","1","9.833333015441895","26.931983947753906","99.66666412353516"
"history","2026-04-11T18:06:35.191Z","1018","2026-04-11T18:06:35.191Z","2026-05-11T18:06:34.696Z","44.796356201171875","0.045","","1.045","나쁨","경미한 악화 (나쁨-1)","1.045","",,"1","9.833333015441895","26.931983947753906","99.66666412353516"
"series","2026-04-11T18:06:40.668Z","1017.3333129882812",,"2026-05-11T18:06:40.578Z","44.79444885253906","0.043","","1.043","나쁨","경미한 악화 (나쁨-1)","1.043","","d83bda1d5960","1","9.833333015441895","26.919967651367188","99.58333587646484"
"history","2026-04-11T18:06:41.074Z","1017.3333129882812","2026-04-11T18:06:41.074Z","2026-05-11T18:06:40.578Z","44.79444885253906","0.043","","1.043","나쁨","경미한 악화 (나쁨-1)","1.043","",,"1","9.833333015441895","26.919967651367188","99.58333587646484"
"series","2026-04-11T18:06:46.791Z","1016.3333129882812",,"2026-05-11T18:06:46.699Z","44.80207824707031","0.041","","1.041","나쁨","경미한 악화 (나쁨-1)","1.041","","d83bda1d5960","1","10","26.9066162109375","99.5"
"history","2026-04-11T18:06:47.177Z","1016.3333129882812","2026-04-11T18:06:47.177Z","2026-05-11T18:06:46.699Z","44.80207824707031","0.041","","1.041","나쁨","경미한 악화 (나쁨-1)","1.041","",,"1","10","26.9066162109375","99.5"
"series","2026-04-11T18:06:52.691Z","1015.6666870117188",,"2026-05-11T18:06:52.600Z","44.8306884765625","0.039","","1.039","나쁨","경미한 악화 (나쁨-1)","1.039","","d83bda1d5960","1","10.5","26.902610778808594","99.41666412353516"
"history","2026-04-11T18:06:53.075Z","1015.6666870117188","2026-04-11T18:06:53.075Z","2026-05-11T18:06:52.600Z","44.8306884765625","0.039","","1.039","나쁨","경미한 악화 (나쁨-1)","1.039","",,"1","10.5","26.902610778808594","99.41666412353516"
"series","2026-04-11T18:06:58.932Z","1015",,"2026-05-11T18:06:58.839Z","44.86311340332031","0.038","","1.038","나쁨","경미한 악화 (나쁨-1)","1.038","","d83bda1d5960","1","10.833333015441895","26.910621643066406","99.33333587646484"
"history","2026-04-11T18:06:59.320Z","1015","2026-04-11T18:06:59.320Z","2026-05-11T18:06:58.839Z","44.86311340332031","0.038","","1.038","나쁨","경미한 악화 (나쁨-1)","1.038","",,"1","10.833333015441895","26.910621643066406","99.33333587646484"
"series","2026-04-11T18:07:04.798Z","1015",,"2026-05-11T18:07:04.707Z","44.862159729003906","0.038","","1.038","나쁨","경미한 악화 (나쁨-1)","1.038","","d83bda1d5960","1","11.5","26.899940490722656","99.25"
"history","2026-04-11T18:07:05.185Z","1015","2026-04-11T18:07:05.185Z","2026-05-11T18:07:04.707Z","44.862159729003906","0.038","","1.038","나쁨","경미한 악화 (나쁨-1)","1.038","",,"1","11.5","26.899940490722656","99.25"
"series","2026-04-11T18:07:10.682Z","1015",,"2026-05-11T18:07:10.590Z","44.910797119140625","0.038","","1.038","나쁨","경미한 악화 (나쁨-1)","1.038","","d83bda1d5960","1","12.166666984558105","26.899940490722656","99.16666412353516"
"history","2026-04-11T18:07:11.067Z","1015","2026-04-11T18:07:11.067Z","2026-05-11T18:07:10.590Z","44.910797119140625","0.038","","1.038","나쁨","경미한 악화 (나쁨-1)","1.038","",,"1","12.166666984558105","26.899940490722656","99.16666412353516"
"series","2026-04-11T18:07:17.595Z","1014.6666870117188",,"2026-05-11T18:07:17.505Z","44.92510223388672","0.037","","1.037","나쁨","경미한 악화 (나쁨-1)","1.037","","d83bda1d5960","1","12.833333015441895","26.889259338378906","99.08333587646484"
"history","2026-04-11T18:07:17.991Z","1014.6666870117188","2026-04-11T18:07:17.991Z","2026-05-11T18:07:17.505Z","44.92510223388672","0.037","","1.037","나쁨","경미한 악화 (나쁨-1)","1.037","",,"1","12.833333015441895","26.889259338378906","99.08333587646484"
"series","2026-04-11T18:07:24.577Z","1014.3333129882812",,"2026-05-11T18:07:24.487Z","44.910797119140625","0.036","","1.036","나쁨","경미한 악화 (나쁨-1)","1.036","","d83bda1d5960","1","13.333333015441895","26.88525390625","99"
"history","2026-04-11T18:07:24.968Z","1014.3333129882812","2026-04-11T18:07:24.968Z","2026-05-11T18:07:24.487Z","44.910797119140625","0.036","","1.036","나쁨","경미한 악화 (나쁨-1)","1.036","",,"1","13.333333015441895","26.88525390625","99"
"series","2026-04-11T18:07:30.512Z","1013.6666870117188",,"2026-05-11T18:07:30.422Z","45.01570129394531","0.034","","1.034","나쁨","경미한 악화 (나쁨-1)","1.034","","d83bda1d5960","1","13.5","26.887924194335938","99"
"history","2026-04-11T18:07:30.913Z","1013.6666870117188","2026-04-11T18:07:30.913Z","2026-05-11T18:07:30.422Z","45.01570129394531","0.034","","1.034","나쁨","경미한 악화 (나쁨-1)","1.034","",,"1","13.5","26.887924194335938","99"
"series","2026-04-11T18:07:36.613Z","1013.6666870117188",,"2026-05-11T18:07:36.522Z","45.16065979003906","0.034","","1.034","나쁨","경미한 악화 (나쁨-1)","1.034","","d83bda1d5960","1","13.5","26.893264770507812","99.08333587646484"
"history","2026-04-11T18:07:36.997Z","1013.6666870117188","2026-04-11T18:07:36.997Z","2026-05-11T18:07:36.522Z","45.16065979003906","0.034","","1.034","나쁨","경미한 악화 (나쁨-1)","1.034","",,"1","13.5","26.893264770507812","99.08333587646484"
"series","2026-04-11T18:07:42.495Z","1014",,"2026-05-11T18:07:42.405Z","45.26079559326172","0.035","","1.035","나쁨","경미한 악화 (나쁨-1)","1.035","","d83bda1d5960","1","13.333333015441895","26.89727020263672","99.16666412353516"
