"source_collection","timestamp","co2","createdAt","expireAt","humidity","iaqi.e_score","iaqi.i_score","iaqi.m_score","iaqi.primary_grade","iaqi.sub_level","iaqiScore","k","macAddress","nox","pm25","temp","tvoc","kEffective","kSource","kCo2","kPm25","kR2Co2","kR2Pm25","kSampleCountCo2","kSampleCountPm25"
"history","2026-04-11T18:05:21.528Z","1032","2026-04-11T18:05:21.528Z","2026-05-11T18:05:21.051Z","45.196895599365234","2.08","","3","나쁨","심각한 악화 (나쁨-3)","3","0","","1","12.333333015441895","26.901275634765625","100","0","computed_co2_insufficient_samples","","","","","2","2"
"history","2026-04-11T18:05:27.100Z","1030.3333740234375","2026-04-11T18:05:27.100Z","2026-05-11T18:05:26.621Z","45.048126220703125","2.076","","3","나쁨","심각한 악화 (나쁨-3)","3","0","","1","12.166666984558105","26.9066162109375","100","0","computed_co2_insufficient_samples","","","","","3","3"
"history","2026-04-11T18:05:33.006Z","1028.3333740234375","2026-04-11T18:05:33.006Z","2026-05-11T18:05:32.527Z","45.00425720214844","2.071","","3","나쁨","심각한 악화 (나쁨-3)","3","0","","1","11.666666984558105","26.9066162109375","100","0","computed_co2_insufficient_samples","","","","","4","4"
"history","2026-04-11T18:05:39.068Z","1027","2026-04-11T18:05:39.068Z","2026-05-11T18:05:38.586Z","44.918426513671875","2.068","","3","나쁨","심각한 악화 (나쁨-3)","3","0","","1","11","26.89727020263672","100","0","computed_co2_insufficient_samples","","","","","5","5"
"history","2026-04-11T18:05:45.208Z","1026.3333740234375","2026-04-11T18:05:45.208Z","2026-05-11T18:05:44.732Z","44.85357666015625","2.066","","3","나쁨","심각한 악화 (나쁨-3)","3","0","","1","10.166666984558105","26.910621643066406","100","0","computed_co2_insufficient_samples","","","","","6","6"
"history","2026-04-11T18:05:51.127Z","1026","2026-04-11T18:05:51.127Z","2026-05-11T18:05:50.631Z","44.799217224121094","2.065","","3","나쁨","심각한 악화 (나쁨-3)","3","0","","1","9.833333015441895","26.919967651367188","100","0","computed_co2_insufficient_samples","","","","","7","7"
"history","2026-04-11T18:05:57.438Z","1025.6666259765625","2026-04-11T18:05:57.438Z","2026-05-11T18:05:56.935Z","44.75916290283203","2.064","","3","나쁨","심각한 악화 (나쁨-3)","3","0","","1","10","26.91729736328125","100","0","computed_co2_insufficient_samples","","","","","8","8"
"history","2026-04-11T18:06:03.067Z","1025.3333740234375","2026-04-11T18:06:03.067Z","2026-05-11T18:06:02.576Z","44.742950439453125","2.063","","3","나쁨","심각한 악화 (나쁨-3)","3","0","","1","10","26.909286499023438","100","0","computed_co2_insufficient_samples","","","","","9","9"
"history","2026-04-11T18:06:09.101Z","1024","2026-04-11T18:06:09.101Z","2026-05-11T18:06:08.612Z","44.75916290283203","2.06","","3","나쁨","심각한 악화 (나쁨-3)","3","0","","1","9.833333015441895","26.914627075195312","100","0","computed_co2_insufficient_samples","","","","","10","10"
"history","2026-04-11T18:06:16.275Z","1022.6666870117188","2026-04-11T18:06:16.275Z","2026-05-11T18:06:15.797Z","44.76774597167969","2.057","","3","나쁨","심각한 악화 (나쁨-3)","3","0","","1","9.666666984558105","26.91863250732422","99.91666412353516","0","computed_co2_insufficient_samples","","","","","11","11"
"history","2026-04-11T18:06:23.682Z","1020.6666870117188","2026-04-11T18:06:23.682Z","2026-05-11T18:06:23.184Z","44.784912109375","2.052","","3","나쁨","심각한 악화 (나쁨-3)","3","0","","1","10","26.903945922851562","99.83333587646484","0","computed_co2_insufficient_samples","","","","","12","12"
"history","2026-04-11T18:06:29.081Z","1019.3333129882812","2026-04-11T18:06:29.081Z","2026-05-11T18:06:28.594Z","44.80780029296875","2.048","","3","나쁨","심각한 악화 (나쁨-3)","3","0","","1","10","26.91863250732422","99.75","0","computed_co2_insufficient_samples","","","","","13","13"
"history","2026-04-11T18:06:35.191Z","1018","2026-04-11T18:06:35.191Z","2026-05-11T18:06:34.696Z","44.796356201171875","2.045","","3","나쁨","심각한 악화 (나쁨-3)","3","0","","1","9.833333015441895","26.931983947753906","99.66666412353516","0","computed_co2_insufficient_samples","","","","","14","14"
"history","2026-04-11T18:06:41.074Z","1017.3333129882812","2026-04-11T18:06:41.074Z","2026-05-11T18:06:40.578Z","44.79444885253906","1.535","","2.492","나쁨","중간수준 악화 (나쁨-2)","2.492","1.017","","1","9.833333015441895","26.919967651367188","99.58333587646484","1.017","computed_co2_regression","1.017","8.948","0.9748","0.6465","15","15"
"history","2026-04-11T18:06:47.177Z","1016.3333129882812","2026-04-11T18:06:47.177Z","2026-05-11T18:06:46.699Z","44.80207824707031","1.529","","2.489","나쁨","중간수준 악화 (나쁨-2)","2.489","1.023","","1","10","26.9066162109375","99.5","1.023","computed_co2_regression","1.023","7.666","0.9793","0.58","16","16"
"history","2026-04-11T18:06:53.075Z","1015.6666870117188","2026-04-11T18:06:53.075Z","2026-05-11T18:06:52.600Z","44.8306884765625","1.531","","2.492","나쁨","중간수준 악화 (나쁨-2)","2.492","1.016","","1","10.5","26.902610778808594","99.41666412353516","1.016","computed_co2_regression","1.016","5.788","0.9826","0.4018","17","17"
"history","2026-04-11T18:06:59.320Z","1015","2026-04-11T18:06:59.320Z","2026-05-11T18:06:58.839Z","44.86311340332031","1.536","","2.499","나쁨","중간수준 악화 (나쁨-2)","2.499","1.003","","1","10.833333015441895","26.910621643066406","99.33333587646484","1.003","computed_co2_regression","1.003","4.171","0.9845","0.2412","18","18"
"history","2026-04-11T18:07:05.185Z","1015","2026-04-11T18:07:05.185Z","2026-05-11T18:07:04.707Z","44.862159729003906","1.552","","2.515","나쁨","중간수준 악화 (나쁨-2)","2.515","0.971","","1","11.5","26.899940490722656","99.25","0.971","computed_co2_regression","0.971","2.188","0.982","0.0673","19","19"
"history","2026-04-11T18:07:11.067Z","1015","2026-04-11T18:07:11.067Z","2026-05-11T18:07:10.590Z","44.910797119140625","1.571","","2.533","나쁨","중간수준 악화 (나쁨-2)","2.533","0.934","","1","12.166666984558105","26.899940490722656","99.16666412353516","0.934","computed_co2_regression","0.934","0.26","0.9758","0.0009","20","20"
"history","2026-04-11T18:07:17.991Z","1014.6666870117188","2026-04-11T18:07:17.991Z","2026-05-11T18:07:17.505Z","44.92510223388672","1.588","","2.551","나쁨","중간수준 악화 (나쁨-2)","2.551","0.898","","1","12.833333015441895","26.889259338378906","99.08333587646484","0.898","computed_co2_regression","0.898","0","0.9692","0.0285","21","21"
"history","2026-04-11T18:07:24.968Z","1014.3333129882812","2026-04-11T18:07:24.968Z","2026-05-11T18:07:24.487Z","44.910797119140625","1.604","","2.569","나쁨","중간수준 악화 (나쁨-2)","2.569","0.863","","1","13.333333015441895","26.88525390625","99","0.863","computed_co2_regression","0.863","0","0.9618","0.0996","22","22"
"history","2026-04-11T18:07:30.913Z","1013.6666870117188","2026-04-11T18:07:30.913Z","2026-05-11T18:07:30.422Z","45.01570129394531","1.615","","2.581","나쁨","중간수준 악화 (나쁨-2)","2.581","0.839","","1","13.5","26.887924194335938","99","0.839","computed_co2_regression","0.839","0","0.9596","0.1712","23","23"
"history","2026-04-11T18:07:36.997Z","1013.6666870117188","2026-04-11T18:07:36.997Z","2026-05-11T18:07:36.522Z","45.16065979003906","1.631","","2.597","나쁨","중간수준 악화 (나쁨-2)","2.597","0.807","","1","13.5","26.893264770507812","99.08333587646484","0.807","computed_co2_regression","0.807","0","0.9517","0.235","24","24"
"history","2026-04-11T18:07:42.886Z","1014","2026-04-11T18:07:42.886Z","2026-05-11T18:07:42.405Z","45.26079559326172","1.65","","2.616","나쁨","중간수준 악화 (나쁨-2)","2.616","0.769","","1","13.333333015441895","26.89727020263672","99.16666412353516","0.769","computed_co2_regression","0.769","0","0.9381","0.2852","25","25"
"history","2026-04-11T18:07:48.946Z","1015.6666870117188","2026-04-11T18:07:48.946Z","2026-05-11T18:07:48.464Z","45.269378662109375","1.685","","2.646","나쁨","중간수준 악화 (나쁨-2)","2.646","0.709","","1","13","26.89459991455078","99.33333587646484","0.709","computed_co2_regression","0.709","0","0.8957","0.3174","26","26"
"history","2026-04-11T18:07:54.945Z","1017","2026-04-11T18:07:54.945Z","2026-05-11T18:07:54.463Z","45.23218536376953","1.719","","2.676","나쁨","중간수준 악화 (나쁨-2)","2.676","0.648","","1","12.333333015441895","26.890594482421875","99.5","0.648","computed_co2_regression","0.648","0","0.8384","0.3149","27","27"
"history","2026-04-11T18:08:01.153Z","1018.6666870117188","2026-04-11T18:08:01.153Z","2026-05-11T18:08:00.668Z","45.26842498779297","1.757","","2.71","나쁨","중간수준 악화 (나쁨-2)","2.71","0.58","","1","11.833333015441895","26.879913330078125","99.66666412353516","0.58","computed_co2_regression","0.58","0","0.7538","0.2938","28","28"
"history","2026-04-11T18:08:07.027Z","1019.3333129882812","2026-04-11T18:08:07.027Z","2026-05-11T18:08:06.552Z","45.13300323486328","1.787","","2.739","나쁨","중간수준 악화 (나쁨-2)","2.739","0.523","","1","11.5","26.866561889648438","99.75","0.523","computed_co2_regression","0.523","0","0.6809","0.2649","29","29"
"history","2026-04-11T18:08:12.895Z","1020","2026-04-11T18:08:12.895Z","2026-05-11T18:08:12.411Z","44.94322204589844","1.816","","2.766","나쁨","중간수준 악화 (나쁨-2)","2.766","0.469","","1","11.166666984558105","26.85321044921875","99.83333587646484","0.469","computed_co2_regression","0.469","0","0.6063","0.2246","30","30"
"history","2026-04-11T18:08:20.748Z","1020","2026-04-11T18:08:20.748Z","2026-05-11T18:08:20.264Z","44.877418518066406","1.839","","2.789","나쁨","중간수준 악화 (나쁨-2)","2.789","0.422","","1","11","26.857215881347656","100","0.422","computed_co2_regression","0.422","0","0.5464","0.1874","31","31"
"history","2026-04-11T18:08:27.315Z","1020","2026-04-11T18:08:27.315Z","2026-05-11T18:08:26.808Z","44.803985595703125","1.859","","2.809","나쁨","중간수준 악화 (나쁨-2)","2.809","0.383","","1","11.166666984558105","26.855880737304688","100","0.383","computed_co2_regression","0.383","0","0.4951","0.1736","32","32"
