co2,createdAt._nanoseconds,createdAt._seconds,expireAt._nanoseconds,expireAt._seconds,humidity,iaqi.e_score,iaqi.i_score,iaqi.m_score,iaqi.primary_grade,iaqi.sub_level,iaqiScore,k,nox,pm25,temp,timestamp._nanoseconds,timestamp._seconds,tvoc
1032,528000000,1775930721,51000000,1778522721,45.196895599365234,0.08,,1.08,나쁨,경미한 악화 (나쁨-1),1.08,,1,12.333333015441895,26.901275634765625,528000000,1775930721,100
1030.3333740234375,100000000,1775930727,621000000,1778522726,45.048126220703125,0.076,,1.076,나쁨,경미한 악화 (나쁨-1),1.076,,1,12.166666984558105,26.9066162109375,100000000,1775930727,100
1028.3333740234375,6000000,1775930733,527000000,1778522732,45.00425720214844,0.071,,1.071,나쁨,경미한 악화 (나쁨-1),1.071,,1,11.666666984558105,26.9066162109375,6000000,1775930733,100
1027,68000000,1775930739,586000000,1778522738,44.918426513671875,0.067,,1.068,나쁨,경미한 악화 (나쁨-1),1.068,,1,11,26.89727020263672,68000000,1775930739,100
1026.3333740234375,208000000,1775930745,732000000,1778522744,44.85357666015625,0.066,,1.066,나쁨,경미한 악화 (나쁨-1),1.066,,1,10.166666984558105,26.910621643066406,208000000,1775930745,100
1026,127000000,1775930751,631000000,1778522750,44.799217224121094,0.065,,1.065,나쁨,경미한 악화 (나쁨-1),1.065,,1,9.833333015441895,26.919967651367188,127000000,1775930751,100
1025.6666259765625,438000000,1775930757,935000000,1778522756,44.75916290283203,0.064,,1.064,나쁨,경미한 악화 (나쁨-1),1.064,,1,10,26.91729736328125,438000000,1775930757,100
1025.3333740234375,67000000,1775930763,576000000,1778522762,44.742950439453125,0.063,,1.063,나쁨,경미한 악화 (나쁨-1),1.063,,1,10,26.909286499023438,67000000,1775930763,100
1024,101000000,1775930769,612000000,1778522768,44.75916290283203,0.06,,1.06,나쁨,경미한 악화 (나쁨-1),1.06,,1,9.833333015441895,26.914627075195312,101000000,1775930769,100
1022.6666870117188,275000000,1775930776,797000000,1778522775,44.76774597167969,0.057,,1.057,나쁨,경미한 악화 (나쁨-1),1.057,,1,9.666666984558105,26.91863250732422,275000000,1775930776,99.91666412353516
1020.6666870117188,682000000,1775930783,184000000,1778522783,44.784912109375,0.052,,1.052,나쁨,경미한 악화 (나쁨-1),1.052,,1,10,26.903945922851562,682000000,1775930783,99.83333587646484
1019.3333129882812,81000000,1775930789,594000000,1778522788,44.80780029296875,0.048,,1.048,나쁨,경미한 악화 (나쁨-1),1.048,,1,10,26.91863250732422,81000000,1775930789,99.75
1018,191000000,1775930795,696000000,1778522794,44.796356201171875,0.045,,1.045,나쁨,경미한 악화 (나쁨-1),1.045,,1,9.833333015441895,26.931983947753906,191000000,1775930795,99.66666412353516
1017.3333129882812,74000000,1775930801,578000000,1778522800,44.79444885253906,0.043,,1.043,나쁨,경미한 악화 (나쁨-1),1.043,,1,9.833333015441895,26.919967651367188,74000000,1775930801,99.58333587646484
1016.3333129882812,177000000,1775930807,699000000,1778522806,44.80207824707031,0.041,,1.041,나쁨,경미한 악화 (나쁨-1),1.041,,1,10,26.9066162109375,177000000,1775930807,99.5
1015.6666870117188,75000000,1775930813,600000000,1778522812,44.8306884765625,0.039,,1.039,나쁨,경미한 악화 (나쁨-1),1.039,,1,10.5,26.902610778808594,75000000,1775930813,99.41666412353516
1015,320000000,1775930819,839000000,1778522818,44.86311340332031,0.038,,1.038,나쁨,경미한 악화 (나쁨-1),1.038,,1,10.833333015441895,26.910621643066406,320000000,1775930819,99.33333587646484
1015,185000000,1775930825,707000000,1778522824,44.862159729003906,0.038,,1.038,나쁨,경미한 악화 (나쁨-1),1.038,,1,11.5,26.899940490722656,185000000,1775930825,99.25
1015,67000000,1775930831,590000000,1778522830,44.910797119140625,0.038,,1.038,나쁨,경미한 악화 (나쁨-1),1.038,,1,12.166666984558105,26.899940490722656,67000000,1775930831,99.16666412353516
1014.6666870117188,991000000,1775930837,505000000,1778522837,44.92510223388672,0.037,,1.037,나쁨,경미한 악화 (나쁨-1),1.037,,1,12.833333015441895,26.889259338378906,991000000,1775930837,99.08333587646484
1014.3333129882812,968000000,1775930844,487000000,1778522844,44.910797119140625,0.036,,1.036,나쁨,경미한 악화 (나쁨-1),1.036,,1,13.333333015441895,26.88525390625,968000000,1775930844,99
1013.6666870117188,913000000,1775930850,422000000,1778522850,45.01570129394531,0.034,,1.034,나쁨,경미한 악화 (나쁨-1),1.034,,1,13.5,26.887924194335938,913000000,1775930850,99
1013.6666870117188,997000000,1775930856,522000000,1778522856,45.16065979003906,0.034,,1.034,나쁨,경미한 악화 (나쁨-1),1.034,,1,13.5,26.893264770507812,997000000,1775930856,99.08333587646484
1014,886000000,1775930862,405000000,1778522862,45.26079559326172,0.035,,1.035,나쁨,경미한 악화 (나쁨-1),1.035,,1,13.333333015441895,26.89727020263672,886000000,1775930862,99.16666412353516
1015.6666870117188,946000000,1775930868,464000000,1778522868,45.269378662109375,0.039,,1.039,나쁨,경미한 악화 (나쁨-1),1.039,,1,13,26.89459991455078,946000000,1775930868,99.33333587646484
1017,945000000,1775930874,463000000,1778522874,45.23218536376953,0.042,,1.043,나쁨,경미한 악화 (나쁨-1),1.043,,1,12.333333015441895,26.890594482421875,945000000,1775930874,99.5
1018.6666870117188,153000000,1775930881,668000000,1778522880,45.26842498779297,0.047,,1.047,나쁨,경미한 악화 (나쁨-1),1.047,,1,11.833333015441895,26.879913330078125,153000000,1775930881,99.66666412353516
1019.3333129882812,27000000,1775930887,552000000,1778522886,45.13300323486328,0.048,,1.048,나쁨,경미한 악화 (나쁨-1),1.048,,1,11.5,26.866561889648438,27000000,1775930887,99.75
1020,895000000,1775930892,411000000,1778522892,44.94322204589844,0.05,,1.05,나쁨,경미한 악화 (나쁨-1),1.05,,1,11.166666984558105,26.85321044921875,895000000,1775930892,99.83333587646484
1020,748000000,1775930900,264000000,1778522900,44.877418518066406,0.05,,1.05,나쁨,경미한 악화 (나쁨-1),1.05,,1,11,26.857215881347656,748000000,1775930900,100
1020,315000000,1775930907,808000000,1778522906,44.803985595703125,0.05,,1.05,나쁨,경미한 악화 (나쁨-1),1.05,,1,11.166666984558105,26.855880737304688,315000000,1775930907,100
1019.6666870117188,819000000,1775930913,325000000,1778522913,44.85643768310547,0.049,,1.049,나쁨,경미한 악화 (나쁨-1),1.049,,1,11.333333015441895,26.85454559326172,819000000,1775930913,100
1019.3333129882812,177000000,1775930919,697000000,1778522918,44.796356201171875,0.048,,1.048,나쁨,경미한 악화 (나쁨-1),1.048,,1,11.333333015441895,26.86255645751953,177000000,1775930919,100
1019,202000000,1775930925,713000000,1778522924,44.50929260253906,0.048,,1.048,나쁨,경미한 악화 (나쁨-1),1.048,,1,11.166666984558105,26.861221313476562,202000000,1775930925,100
1018.6666870117188,211000000,1775930931,734000000,1778522930,44.381500244140625,0.047,,1.047,나쁨,경미한 악화 (나쁨-1),1.047,,1,11.166666984558105,26.858551025390625,211000000,1775930931,100
1018,349000000,1775930937,857000000,1778522936,44.363380432128906,0.045,,1.045,나쁨,경미한 악화 (나쁨-1),1.045,,1,10.666666984558105,26.84119415283203,349000000,1775930937,99.91666412353516
1017.3333129882812,320000000,1775930943,827000000,1778522942,44.2355842590332,0.043,,1.043,나쁨,경미한 악화 (나쁨-1),1.043,,1,10.5,26.849205017089844,320000000,1775930943,99.83333587646484
1017.3333129882812,349000000,1775930949,861000000,1778522948,44.14784240722656,0.043,,1.043,나쁨,경미한 악화 (나쁨-1),1.043,,1,10.5,26.86255645751953,349000000,1775930949,99.66666412353516
1017.6666870117188,382000000,1775930955,892000000,1778522954,44.223182678222656,0.044,,1.044,나쁨,경미한 악화 (나쁨-1),1.044,,1,10.833333015441895,26.849205017089844,382000000,1775930955,99.5
1020.6666870117188,312000000,1775930962,824000000,1778522961,44.546485900878906,0.052,,1.052,나쁨,경미한 악화 (나쁨-1),1.052,,1,11.166666984558105,26.84119415283203,312000000,1775930962,99.41666412353516
1034,774000000,1775930968,294000000,1778522968,44.71910858154297,0.085,,1.085,나쁨,경미한 악화 (나쁨-1),1.085,,1,11.5,26.842529296875,774000000,1775930968,99.41666412353516
1062.6666259765625,801000000,1775930974,317000000,1778522974,44.75916290283203,0.157,,1.157,나쁨,경미한 악화 (나쁨-1),1.157,,1,12.166666984558105,26.83184814453125,801000000,1775930974,99.5
1110.3333740234375,742000000,1775930980,256000000,1778522980,44.806846618652344,0.276,,1.276,나쁨,경미한 악화 (나쁨-1),1.276,,1,12.5,26.81048583984375,742000000,1775930980,99.83333587646484
1153.3333740234375,862000000,1775930986,384000000,1778522986,44.44635009765625,0.383,,1.383,나쁨,경미한 악화 (나쁨-1),1.383,,1,12.833333015441895,26.81182098388672,862000000,1775930986,100
1181.6666259765625,764000000,1775930992,284000000,1778522992,44.062965393066406,0.454,,1.454,나쁨,경미한 악화 (나쁨-1),1.454,,1,13.166666984558105,26.803810119628906,764000000,1775930992,100.5
1186.6666259765625,725000000,1775930998,237000000,1778522998,43.800697326660156,0.467,,1.467,나쁨,경미한 악화 (나쁨-1),1.467,,1,13.5,26.783782958984375,725000000,1775930998,100.66666412353516
1178.3333740234375,731000000,1775931004,247000000,1778523004,43.523170471191406,0.446,,1.446,나쁨,경미한 악화 (나쁨-1),1.446,,1,14,26.775772094726562,731000000,1775931004,100.83333587646484
1166,735000000,1775931010,262000000,1778523010,43.59183883666992,0.415,,1.415,나쁨,경미한 악화 (나쁨-1),1.415,,1,14.5,26.76776123046875,735000000,1775931010,101.16666412353516
1149.3333740234375,606000000,1775931017,119000000,1778523017,43.5880241394043,0.373,,1.373,나쁨,경미한 악화 (나쁨-1),1.373,,1,14.666666984558105,26.765090942382812,606000000,1775931017,101.33333587646484
1136.3333740234375,657000000,1775931023,155000000,1778523023,43.37439727783203,0.341,,1.341,나쁨,경미한 악화 (나쁨-1),1.341,,1,15,26.76909637451172,657000000,1775931023,101.41666412353516
1119,157000000,1775931030,670000000,1778523029,43.14646911621094,0.298,,1.298,나쁨,경미한 악화 (나쁨-1),1.298,,1,14.833333015441895,26.749069213867188,157000000,1775931030,101.41666412353516
1105.3333740234375,232000000,1775931036,755000000,1778523035,42.93284606933594,0.263,,1.263,나쁨,경미한 악화 (나쁨-1),1.263,,1,14.5,26.710350036621094,232000000,1775931036,101.25
1090.6666259765625,85000000,1775931042,607000000,1778523041,42.81459045410156,0.227,,1.227,나쁨,경미한 악화 (나쁨-1),1.227,,1,13.333333015441895,26.70233917236328,85000000,1775931042,101.08333587646484
1082,120000000,1775931048,634000000,1778523047,42.74687957763672,0.205,,1.205,나쁨,경미한 악화 (나쁨-1),1.205,,1,12.166666984558105,26.711685180664062,120000000,1775931048,100.91666412353516
1070,124000000,1775931054,647000000,1778523053,42.880393981933594,0.175,,1.175,나쁨,경미한 악화 (나쁨-1),1.175,,1,11.666666984558105,26.687652587890625,124000000,1775931054,100.75
1061,116000000,1775931060,642000000,1778523059,42.910911560058594,0.153,,1.153,나쁨,경미한 악화 (나쁨-1),1.153,,1,11.333333015441895,26.67296600341797,116000000,1775931060,100.58333587646484
1052.3333740234375,252000000,1775931066,765000000,1778523065,42.755462646484375,0.131,,1.131,나쁨,경미한 악화 (나쁨-1),1.131,,1,11.166666984558105,26.686317443847656,252000000,1775931066,100.5
1049.6666259765625,144000000,1775931072,651000000,1778523071,42.60478210449219,0.124,,1.124,나쁨,경미한 악화 (나쁨-1),1.124,,1,11.166666984558105,26.675636291503906,144000000,1775931072,100.41666412353516
1048.3333740234375,971000000,1775931078,483000000,1778523078,42.393062591552734,0.121,,1.121,나쁨,경미한 악화 (나쁨-1),1.121,,1,11.5,26.64893341064453,971000000,1775931078,100.33333587646484
1048.3333740234375,950000000,1775931084,459000000,1778523084,42.2967414855957,0.121,,1.121,나쁨,경미한 악화 (나쁨-1),1.121,,1,12,26.62222671508789,950000000,1775931084,100.25
1047.6666259765625,646000000,1775931091,171000000,1778523091,42.29197692871094,0.119,,1.119,나쁨,경미한 악화 (나쁨-1),1.119,,1,12.166666984558105,26.59685516357422,646000000,1775931091,100.08333587646484
1047,730000000,1775931097,248000000,1778523097,42.21186828613281,0.117,,1.118,나쁨,경미한 악화 (나쁨-1),1.118,,1,12.333333015441895,26.58350372314453,730000000,1775931097,99.91666412353516
1046,622000000,1775931103,142000000,1778523103,42.14701843261719,0.115,,1.115,나쁨,경미한 악화 (나쁨-1),1.115,,1,12.5,26.570152282714844,622000000,1775931103,99.75
1044.3333740234375,681000000,1775931109,201000000,1778523109,42.122222900390625,0.111,,1.111,나쁨,경미한 악화 (나쁨-1),1.111,,1,12.666666984558105,26.5634765625,681000000,1775931109,99.66666412353516
1042.3333740234375,713000000,1775931115,230000000,1778523115,42.0115966796875,0.106,,1.106,나쁨,경미한 악화 (나쁨-1),1.106,,1,13,26.558135986328125,713000000,1775931115,99.58333587646484
1040,640000000,1775931121,162000000,1778523121,41.81990432739258,0.1,,1.1,나쁨,경미한 악화 (나쁨-1),1.1,,1,13.166666984558105,26.548789978027344,640000000,1775931121,99.5
1038.3333740234375,776000000,1775931127,289000000,1778523127,41.719764709472656,0.096,,1.096,나쁨,경미한 악화 (나쁨-1),1.096,,1,13,26.514076232910156,776000000,1775931127,99.41666412353516
1036.6666259765625,211000000,1775931135,730000000,1778523134,41.764591217041016,0.092,,1.092,나쁨,경미한 악화 (나쁨-1),1.092,,1,12.666666984558105,26.495384216308594,211000000,1775931135,99.33333587646484
1035.6666259765625,774000000,1775931141,289000000,1778523141,41.70260238647461,0.089,,1.089,나쁨,경미한 악화 (나쁨-1),1.089,,1,12.333333015441895,26.50072479248047,774000000,1775931141,99.25
1034.6666259765625,157000000,1775931147,648000000,1778523146,41.55668640136719,0.087,,1.087,나쁨,경미한 악화 (나쁨-1),1.087,,1,11.833333015441895,26.483367919921875,157000000,1775931147,99.16666412353516
1033.6666259765625,658000000,1775931153,178000000,1778523153,41.506141662597656,0.084,,1.084,나쁨,경미한 악화 (나쁨-1),1.084,,1,11.666666984558105,26.449989318847656,658000000,1775931153,99.08333587646484
1032.6666259765625,673000000,1775931159,194000000,1778523159,41.464176177978516,0.082,,1.082,나쁨,경미한 악화 (나쁨-1),1.082,,1,11.333333015441895,26.44598388671875,673000000,1775931159,99
1032,761000000,1775931165,284000000,1778523165,41.325889587402344,0.08,,1.08,나쁨,경미한 악화 (나쁨-1),1.08,,1,11.166666984558105,26.421951293945312,761000000,1775931165,99
1032,668000000,1775931171,196000000,1778523171,41.13134002685547,0.08,,1.08,나쁨,경미한 악화 (나쁨-1),1.08,,1,10.666666984558105,26.38056182861328,668000000,1775931171,99
1031.6666259765625,836000000,1775931177,358000000,1778523177,41.071258544921875,0.079,,1.079,나쁨,경미한 악화 (나쁨-1),1.079,,1,10.5,26.38056182861328,836000000,1775931177,99
1031.3333740234375,678000000,1775931183,204000000,1778523183,41.18951416015625,0.078,,1.078,나쁨,경미한 악화 (나쁨-1),1.078,,1,10.5,26.365875244140625,678000000,1775931183,99
1031,680000000,1775931189,209000000,1778523189,41.30586242675781,0.077,,1.078,나쁨,경미한 악화 (나쁨-1),1.078,,1,10.333333015441895,26.341842651367188,680000000,1775931189,99
1030.6666259765625,500000000,1775931196,21000000,1778523196,41.26866912841797,0.077,,1.077,나쁨,경미한 악화 (나쁨-1),1.077,,1,10.5,26.333831787109375,500000000,1775931196,99
1030.3333740234375,515000000,1775931202,44000000,1778523202,41.16948699951172,0.076,,1.076,나쁨,경미한 악화 (나쁨-1),1.076,,1,10.5,26.315139770507812,515000000,1775931202,99
1030,372000000,1775931208,886000000,1778523207,41.16948699951172,0.075,,1.075,나쁨,경미한 악화 (나쁨-1),1.075,,1,10.833333015441895,26.315139770507812,372000000,1775931208,99
