co2,createdAt,expireAt,humidity,iaqi.e_score,iaqi.i_score,iaqi.m_score,iaqi.primary_grade,iaqi.sub_level,iaqiScore,k,nox,pm25,temp,timestamp,tvoc
1032,2026-04-11T18:05:21.528Z,2026-05-11T18:05:21.051Z,45.196895599365234,0.08,,1.08,나쁨,경미한 악화 (나쁨-1),1.08,,1,12.333333015441895,26.901275634765625,2026-04-11T18:05:21.528Z,100
1030.3333740234375,2026-04-11T18:05:27.100Z,2026-05-11T18:05:26.621Z,45.048126220703125,0.076,,1.076,나쁨,경미한 악화 (나쁨-1),1.076,,1,12.166666984558105,26.9066162109375,2026-04-11T18:05:27.100Z,100
1028.3333740234375,2026-04-11T18:05:33.006Z,2026-05-11T18:05:32.527Z,45.00425720214844,0.071,,1.071,나쁨,경미한 악화 (나쁨-1),1.071,,1,11.666666984558105,26.9066162109375,2026-04-11T18:05:33.006Z,100
1027,2026-04-11T18:05:39.068Z,2026-05-11T18:05:38.586Z,44.918426513671875,0.067,,1.068,나쁨,경미한 악화 (나쁨-1),1.068,,1,11,26.89727020263672,2026-04-11T18:05:39.068Z,100
1026.3333740234375,2026-04-11T18:05:45.208Z,2026-05-11T18:05:44.732Z,44.85357666015625,0.066,,1.066,나쁨,경미한 악화 (나쁨-1),1.066,,1,10.166666984558105,26.910621643066406,2026-04-11T18:05:45.208Z,100
1026,2026-04-11T18:05:51.127Z,2026-05-11T18:05:50.631Z,44.799217224121094,0.065,,1.065,나쁨,경미한 악화 (나쁨-1),1.065,,1,9.833333015441895,26.919967651367188,2026-04-11T18:05:51.127Z,100
1025.6666259765625,2026-04-11T18:05:57.438Z,2026-05-11T18:05:56.935Z,44.75916290283203,0.064,,1.064,나쁨,경미한 악화 (나쁨-1),1.064,,1,10,26.91729736328125,2026-04-11T18:05:57.438Z,100
1025.3333740234375,2026-04-11T18:06:03.067Z,2026-05-11T18:06:02.576Z,44.742950439453125,0.063,,1.063,나쁨,경미한 악화 (나쁨-1),1.063,,1,10,26.909286499023438,2026-04-11T18:06:03.067Z,100
1024,2026-04-11T18:06:09.101Z,2026-05-11T18:06:08.612Z,44.75916290283203,0.06,,1.06,나쁨,경미한 악화 (나쁨-1),1.06,,1,9.833333015441895,26.914627075195312,2026-04-11T18:06:09.101Z,100
1022.6666870117188,2026-04-11T18:06:16.275Z,2026-05-11T18:06:15.797Z,44.76774597167969,0.057,,1.057,나쁨,경미한 악화 (나쁨-1),1.057,,1,9.666666984558105,26.91863250732422,2026-04-11T18:06:16.275Z,99.91666412353516
1020.6666870117188,2026-04-11T18:06:23.682Z,2026-05-11T18:06:23.184Z,44.784912109375,0.052,,1.052,나쁨,경미한 악화 (나쁨-1),1.052,,1,10,26.903945922851562,2026-04-11T18:06:23.682Z,99.83333587646484
1019.3333129882812,2026-04-11T18:06:29.081Z,2026-05-11T18:06:28.594Z,44.80780029296875,0.048,,1.048,나쁨,경미한 악화 (나쁨-1),1.048,,1,10,26.91863250732422,2026-04-11T18:06:29.081Z,99.75
1018,2026-04-11T18:06:35.191Z,2026-05-11T18:06:34.696Z,44.796356201171875,0.045,,1.045,나쁨,경미한 악화 (나쁨-1),1.045,,1,9.833333015441895,26.931983947753906,2026-04-11T18:06:35.191Z,99.66666412353516
1017.3333129882812,2026-04-11T18:06:41.074Z,2026-05-11T18:06:40.578Z,44.79444885253906,0.043,,1.043,나쁨,경미한 악화 (나쁨-1),1.043,,1,9.833333015441895,26.919967651367188,2026-04-11T18:06:41.074Z,99.58333587646484
1016.3333129882812,2026-04-11T18:06:47.177Z,2026-05-11T18:06:46.699Z,44.80207824707031,0.041,,1.041,나쁨,경미한 악화 (나쁨-1),1.041,,1,10,26.9066162109375,2026-04-11T18:06:47.177Z,99.5
1015.6666870117188,2026-04-11T18:06:53.075Z,2026-05-11T18:06:52.600Z,44.8306884765625,0.039,,1.039,나쁨,경미한 악화 (나쁨-1),1.039,,1,10.5,26.902610778808594,2026-04-11T18:06:53.075Z,99.41666412353516
1015,2026-04-11T18:06:59.320Z,2026-05-11T18:06:58.839Z,44.86311340332031,0.038,,1.038,나쁨,경미한 악화 (나쁨-1),1.038,,1,10.833333015441895,26.910621643066406,2026-04-11T18:06:59.320Z,99.33333587646484
1015,2026-04-11T18:07:05.185Z,2026-05-11T18:07:04.707Z,44.862159729003906,0.038,,1.038,나쁨,경미한 악화 (나쁨-1),1.038,,1,11.5,26.899940490722656,2026-04-11T18:07:05.185Z,99.25
1015,2026-04-11T18:07:11.067Z,2026-05-11T18:07:10.590Z,44.910797119140625,0.038,,1.038,나쁨,경미한 악화 (나쁨-1),1.038,,1,12.166666984558105,26.899940490722656,2026-04-11T18:07:11.067Z,99.16666412353516
1014.6666870117188,2026-04-11T18:07:17.991Z,2026-05-11T18:07:17.505Z,44.92510223388672,0.037,,1.037,나쁨,경미한 악화 (나쁨-1),1.037,,1,12.833333015441895,26.889259338378906,2026-04-11T18:07:17.991Z,99.08333587646484
1014.3333129882812,2026-04-11T18:07:24.968Z,2026-05-11T18:07:24.487Z,44.910797119140625,0.036,,1.036,나쁨,경미한 악화 (나쁨-1),1.036,,1,13.333333015441895,26.88525390625,2026-04-11T18:07:24.968Z,99
1013.6666870117188,2026-04-11T18:07:30.913Z,2026-05-11T18:07:30.422Z,45.01570129394531,0.034,,1.034,나쁨,경미한 악화 (나쁨-1),1.034,,1,13.5,26.887924194335938,2026-04-11T18:07:30.913Z,99
1013.6666870117188,2026-04-11T18:07:36.997Z,2026-05-11T18:07:36.522Z,45.16065979003906,0.034,,1.034,나쁨,경미한 악화 (나쁨-1),1.034,,1,13.5,26.893264770507812,2026-04-11T18:07:36.997Z,99.08333587646484
1014,2026-04-11T18:07:42.886Z,2026-05-11T18:07:42.405Z,45.26079559326172,0.035,,1.035,나쁨,경미한 악화 (나쁨-1),1.035,,1,13.333333015441895,26.89727020263672,2026-04-11T18:07:42.886Z,99.16666412353516
1015.6666870117188,2026-04-11T18:07:48.946Z,2026-05-11T18:07:48.464Z,45.269378662109375,0.039,,1.039,나쁨,경미한 악화 (나쁨-1),1.039,,1,13,26.89459991455078,2026-04-11T18:07:48.946Z,99.33333587646484
1017,2026-04-11T18:07:54.945Z,2026-05-11T18:07:54.463Z,45.23218536376953,0.042,,1.043,나쁨,경미한 악화 (나쁨-1),1.043,,1,12.333333015441895,26.890594482421875,2026-04-11T18:07:54.945Z,99.5
1018.6666870117188,2026-04-11T18:08:01.153Z,2026-05-11T18:08:00.668Z,45.26842498779297,0.047,,1.047,나쁨,경미한 악화 (나쁨-1),1.047,,1,11.833333015441895,26.879913330078125,2026-04-11T18:08:01.153Z,99.66666412353516
1019.3333129882812,2026-04-11T18:08:07.027Z,2026-05-11T18:08:06.552Z,45.13300323486328,0.048,,1.048,나쁨,경미한 악화 (나쁨-1),1.048,,1,11.5,26.866561889648438,2026-04-11T18:08:07.027Z,99.75
1020,2026-04-11T18:08:12.895Z,2026-05-11T18:08:12.411Z,44.94322204589844,0.05,,1.05,나쁨,경미한 악화 (나쁨-1),1.05,,1,11.166666984558105,26.85321044921875,2026-04-11T18:08:12.895Z,99.83333587646484
1020,2026-04-11T18:08:20.748Z,2026-05-11T18:08:20.264Z,44.877418518066406,0.05,,1.05,나쁨,경미한 악화 (나쁨-1),1.05,,1,11,26.857215881347656,2026-04-11T18:08:20.748Z,100
1020,2026-04-11T18:08:27.315Z,2026-05-11T18:08:26.808Z,44.803985595703125,0.05,,1.05,나쁨,경미한 악화 (나쁨-1),1.05,,1,11.166666984558105,26.855880737304688,2026-04-11T18:08:27.315Z,100
1019.6666870117188,2026-04-11T18:08:33.819Z,2026-05-11T18:08:33.325Z,44.85643768310547,0.049,,1.049,나쁨,경미한 악화 (나쁨-1),1.049,,1,11.333333015441895,26.85454559326172,2026-04-11T18:08:33.819Z,100
1019.3333129882812,2026-04-11T18:08:39.177Z,2026-05-11T18:08:38.697Z,44.796356201171875,0.048,,1.048,나쁨,경미한 악화 (나쁨-1),1.048,,1,11.333333015441895,26.86255645751953,2026-04-11T18:08:39.177Z,100
1019,2026-04-11T18:08:45.202Z,2026-05-11T18:08:44.713Z,44.50929260253906,0.048,,1.048,나쁨,경미한 악화 (나쁨-1),1.048,,1,11.166666984558105,26.861221313476562,2026-04-11T18:08:45.202Z,100
1018.6666870117188,2026-04-11T18:08:51.211Z,2026-05-11T18:08:50.734Z,44.381500244140625,0.047,,1.047,나쁨,경미한 악화 (나쁨-1),1.047,,1,11.166666984558105,26.858551025390625,2026-04-11T18:08:51.211Z,100
1018,2026-04-11T18:08:57.349Z,2026-05-11T18:08:56.857Z,44.363380432128906,0.045,,1.045,나쁨,경미한 악화 (나쁨-1),1.045,,1,10.666666984558105,26.84119415283203,2026-04-11T18:08:57.349Z,99.91666412353516
1017.3333129882812,2026-04-11T18:09:03.320Z,2026-05-11T18:09:02.827Z,44.2355842590332,0.043,,1.043,나쁨,경미한 악화 (나쁨-1),1.043,,1,10.5,26.849205017089844,2026-04-11T18:09:03.320Z,99.83333587646484
1017.3333129882812,2026-04-11T18:09:09.349Z,2026-05-11T18:09:08.861Z,44.14784240722656,0.043,,1.043,나쁨,경미한 악화 (나쁨-1),1.043,,1,10.5,26.86255645751953,2026-04-11T18:09:09.349Z,99.66666412353516
1017.6666870117188,2026-04-11T18:09:15.382Z,2026-05-11T18:09:14.892Z,44.223182678222656,0.044,,1.044,나쁨,경미한 악화 (나쁨-1),1.044,,1,10.833333015441895,26.849205017089844,2026-04-11T18:09:15.382Z,99.5
1020.6666870117188,2026-04-11T18:09:22.312Z,2026-05-11T18:09:21.824Z,44.546485900878906,0.052,,1.052,나쁨,경미한 악화 (나쁨-1),1.052,,1,11.166666984558105,26.84119415283203,2026-04-11T18:09:22.312Z,99.41666412353516
1034,2026-04-11T18:09:28.774Z,2026-05-11T18:09:28.294Z,44.71910858154297,0.085,,1.085,나쁨,경미한 악화 (나쁨-1),1.085,,1,11.5,26.842529296875,2026-04-11T18:09:28.774Z,99.41666412353516
1062.6666259765625,2026-04-11T18:09:34.801Z,2026-05-11T18:09:34.317Z,44.75916290283203,0.157,,1.157,나쁨,경미한 악화 (나쁨-1),1.157,,1,12.166666984558105,26.83184814453125,2026-04-11T18:09:34.801Z,99.5
1110.3333740234375,2026-04-11T18:09:40.742Z,2026-05-11T18:09:40.256Z,44.806846618652344,0.276,,1.276,나쁨,경미한 악화 (나쁨-1),1.276,,1,12.5,26.81048583984375,2026-04-11T18:09:40.742Z,99.83333587646484
1153.3333740234375,2026-04-11T18:09:46.862Z,2026-05-11T18:09:46.384Z,44.44635009765625,0.383,,1.383,나쁨,경미한 악화 (나쁨-1),1.383,,1,12.833333015441895,26.81182098388672,2026-04-11T18:09:46.862Z,100
