co2,createdAt,expireAt,humidity,iaqi.e_score,iaqi.i_score,iaqi.m_score,iaqi.primary_grade,iaqi.sub_level,iaqiScore,k,kCo2,kEffective,kPm25,kR2Co2,kR2Pm25,kSampleCountCo2,kSampleCountPm25,kSource,nox,pm25,source_collection,temp,timestamp,tvoc
617.3333129882812,2026-04-12T22:27:06.568Z,2026-05-12T22:27:05.634Z,41.16656494140625,2,,3,나쁨,심각한 악화 (나쁨-3),3,,0,0,0.153,0.8915,0.0127,48,48,computed_co2_regression,3,17.83333396911621,history,24.767677307128906,2026-04-12T22:27:06.568Z,21
617,2026-04-12T22:27:14.929Z,2026-05-12T22:27:13.855Z,41.22950744628906,2,,3,나쁨,심각한 악화 (나쁨-3),3,,0,0,0.379,0.884,0.0672,47,47,computed_co2_regression,3,17.66666603088379,history,24.79571533203125,2026-04-12T22:27:14.929Z,21
617.3333129882812,2026-04-12T22:27:20.773Z,2026-05-12T22:27:19.651Z,41.216156005859375,2,,3,나쁨,심각한 악화 (나쁨-3),3,,0,0,0.604,0.8757,0.1563,47,47,computed_co2_regression,3,17.5,history,24.79705047607422,2026-04-12T22:27:20.773Z,21
617.6666870117188,2026-04-12T22:27:26.643Z,2026-05-12T22:27:25.702Z,41.19422149658203,2,,3,나쁨,심각한 악화 (나쁨-3),3,,0,0,0.84,0.8672,0.2835,47,47,computed_co2_regression,3,17.5,history,24.787704467773438,2026-04-12T22:27:26.643Z,21
618.6666870117188,2026-04-12T22:27:32.575Z,2026-05-12T22:27:31.636Z,41.28577423095703,2,,3,나쁨,심각한 악화 (나쁨-3),3,,0,0,1.031,0.862,0.4003,47,47,computed_co2_regression,3,17.66666603088379,history,24.7850341796875,2026-04-12T22:27:32.575Z,21
619.6666870117188,2026-04-12T22:27:40.742Z,2026-05-12T22:27:39.637Z,41.28577423095703,2,,3,나쁨,심각한 악화 (나쁨-3),3,,0,0,1.149,0.8591,0.4749,47,47,computed_co2_regression,3,18,history,24.781028747558594,2026-04-12T22:27:40.742Z,21.08333396911621
621,2026-04-12T22:27:46.609Z,2026-05-12T22:27:45.651Z,41.18182373046875,2,,3,나쁨,심각한 악화 (나쁨-3),3,,0,0,1.235,0.8588,0.5324,47,47,computed_co2_regression,3,18.16666603088379,history,24.778358459472656,2026-04-12T22:27:46.609Z,21.16666603088379
622,2026-04-12T22:27:52.539Z,2026-05-12T22:27:51.603Z,41.193267822265625,2,,3,나쁨,심각한 악화 (나쁨-3),3,,0,0,1.265,0.8592,0.5529,47,47,computed_co2_regression,3,18.5,history,24.7850341796875,2026-04-12T22:27:52.539Z,21.25
622.6666870117188,2026-04-12T22:27:58.684Z,2026-05-12T22:27:57.754Z,41.144630432128906,2,,3,나쁨,심각한 악화 (나쁨-3),3,,0,0,1.212,0.8595,0.5177,47,47,computed_co2_regression,3,19,history,24.798385620117188,2026-04-12T22:27:58.684Z,21.33333396911621
623,2026-04-12T22:28:05.488Z,2026-05-12T22:28:04.520Z,41.060707092285156,2,,3,나쁨,심각한 악화 (나쁨-3),3,,0,0,1.116,0.8595,0.4463,47,47,computed_co2_regression,3,19.5,history,24.79571533203125,2026-04-12T22:28:05.488Z,21.41666603088379
623,2026-04-12T22:28:11.858Z,2026-05-12T22:28:10.911Z,40.994903564453125,2,,3,나쁨,심각한 악화 (나쁨-3),3,,0,0,0.979,0.8673,0.3555,48,48,computed_co2_regression,3,20,history,24.790374755859375,2026-04-12T22:28:11.858Z,21.5
623,2026-04-12T22:28:18.961Z,2026-05-12T22:28:18.035Z,41.0216064453125,2,,3,나쁨,심각한 악화 (나쁨-3),3,,0,0,0.86,0.8586,0.2643,47,47,computed_co2_regression,3,19.83333396911621,history,24.798385620117188,2026-04-12T22:28:18.961Z,21.58333396911621
623.3333129882812,2026-04-12T22:28:25.145Z,2026-05-12T22:28:24.060Z,41.05498504638672,2,,3,나쁨,심각한 악화 (나쁨-3),3,,0,0,0.74,0.8592,0.1994,47,47,computed_co2_regression,3,19.66666603088379,history,24.80506134033203,2026-04-12T22:28:25.145Z,21.66666603088379
623.6666870117188,2026-04-12T22:28:33.685Z,2026-05-12T22:28:32.678Z,41.083595275878906,2,,3,나쁨,심각한 악화 (나쁨-3),3,,0,0,0.656,0.8619,0.1581,47,47,computed_co2_regression,3,19.5,history,24.80773162841797,2026-04-12T22:28:33.685Z,21.75
624,2026-04-12T22:28:39.541Z,2026-05-12T22:28:38.606Z,41.13032531738281,2,,3,나쁨,심각한 악화 (나쁨-3),3,,0,0,0.598,0.8646,0.1315,47,47,computed_co2_regression,3,19.5,history,24.81574249267578,2026-04-12T22:28:39.541Z,21.83333396911621
624,2026-04-12T22:28:45.529Z,2026-05-12T22:28:44.586Z,41.13032531738281,2,,3,나쁨,심각한 악화 (나쁨-3),3,,0,0,0.555,0.8682,0.1133,47,47,computed_co2_regression,3,19.33333396911621,history,24.819747924804688,2026-04-12T22:28:45.529Z,21.91666603088379
