co2,expireAt._nanoseconds,expireAt._seconds,humidity,iaqi.e_score,iaqi.i_score,iaqi.m_score,iaqi.primary_grade,iaqi.sub_level,iaqiScore,k,macAddress,nox,pm25,temp,timestamp._nanoseconds,timestamp._seconds,tvoc
1030.3333740234375,621000000,1778522726,45.048126220703125,0.076,,1.076,나쁨,경미한 악화 (나쁨-1),1.076,,d83bda1d5960,1,12.166666984558105,26.9066162109375,712000000,1775930726,100
1028.3333740234375,527000000,1778522732,45.00425720214844,0.071,,1.071,나쁨,경미한 악화 (나쁨-1),1.071,,d83bda1d5960,1,11.666666984558105,26.9066162109375,618000000,1775930732,100
1027,586000000,1778522738,44.918426513671875,0.067,,1.068,나쁨,경미한 악화 (나쁨-1),1.068,,d83bda1d5960,1,11,26.89727020263672,677000000,1775930738,100
1026.3333740234375,732000000,1778522744,44.85357666015625,0.066,,1.066,나쁨,경미한 악화 (나쁨-1),1.066,,d83bda1d5960,1,10.166666984558105,26.910621643066406,823000000,1775930744,100
1026,631000000,1778522750,44.799217224121094,0.065,,1.065,나쁨,경미한 악화 (나쁨-1),1.065,,d83bda1d5960,1,9.833333015441895,26.919967651367188,726000000,1775930750,100
1025.6666259765625,935000000,1778522756,44.75916290283203,0.064,,1.064,나쁨,경미한 악화 (나쁨-1),1.064,,d83bda1d5960,1,10,26.91729736328125,29000000,1775930757,100
1025.3333740234375,576000000,1778522762,44.742950439453125,0.063,,1.063,나쁨,경미한 악화 (나쁨-1),1.063,,d83bda1d5960,1,10,26.909286499023438,668000000,1775930762,100
1024,612000000,1778522768,44.75916290283203,0.06,,1.06,나쁨,경미한 악화 (나쁨-1),1.06,,d83bda1d5960,1,9.833333015441895,26.914627075195312,703000000,1775930768,100
1022.6666870117188,797000000,1778522775,44.76774597167969,0.057,,1.057,나쁨,경미한 악화 (나쁨-1),1.057,,d83bda1d5960,1,9.666666984558105,26.91863250732422,886000000,1775930775,99.91666412353516
1020.6666870117188,184000000,1778522783,44.784912109375,0.052,,1.052,나쁨,경미한 악화 (나쁨-1),1.052,,d83bda1d5960,1,10,26.903945922851562,280000000,1775930783,99.83333587646484
