co2,createdAt,expireAt,humidity,iaqi.e_score,iaqi.i_score,iaqi.m_score,iaqi.primary_grade,iaqi.sub_level,iaqiScore,k,kCo2,kEffective,kPm25,kR2Co2,kR2Pm25,kSampleCountCo2,kSampleCountPm25,kSource,nox,pm25,source_collection,temp,timestamp,tvoc,timestamp_kst,rCo2,rPm25,rVoc,rK,rTh,m_orig,m_no_k,m_no_k_th
617.3333129882812,2026-04-12T22:27:06.568Z,2026-05-12T22:27:05.634Z,41.16656494140625,2.0,,3.0,나쁨,심각한 악화 (나쁨-3),3.0,,0.0,0.0,0.153,0.8915,0.0127,48,48,computed_co2_regression,3.0,17.83333396911621,history,24.767677307128903,2026-04-12 22:27:06.568000+00:00,21.0,2026-04-13 07:27:06.568000+09:00,0.04333328247070312,0.08095239911760603,0.0,3.0,0.883343505859375,3.0,0.08095239911760603,0.883343505859375
617.0,2026-04-12T22:27:14.929Z,2026-05-12T22:27:13.855Z,41.22950744628906,2.0,,3.0,나쁨,심각한 악화 (나쁨-3),3.0,,0.0,0.0,0.379,0.884,0.0672,47,47,computed_co2_regression,3.0,17.66666603088379,history,24.79571533203125,2026-04-12 22:27:14.929000+00:00,21.0,2026-04-13 07:27:14.929000+09:00,0.0425,0.07619045802525111,0.0,3.0,0.8770492553710938,3.0,0.07619045802525111,0.8770492553710938
617.3333129882812,2026-04-12T22:27:20.773Z,2026-05-12T22:27:19.651Z,41.216156005859375,2.0,,3.0,나쁨,심각한 악화 (나쁨-3),3.0,,0.0,0.0,0.604,0.8757,0.1563,47,47,computed_co2_regression,3.0,17.5,history,24.79705047607422,2026-04-12 22:27:20.773000+00:00,21.0,2026-04-13 07:27:20.773000+09:00,0.04333328247070312,0.07142857142857142,0.0,3.0,0.8783843994140625,3.0,0.07142857142857142,0.8783843994140625
617.6666870117188,2026-04-12T22:27:26.643Z,2026-05-12T22:27:25.702Z,41.19422149658203,2.0,,3.0,나쁨,심각한 악화 (나쁨-3),3.0,,0.0,0.0,0.84,0.8672,0.2835,47,47,computed_co2_regression,3.0,17.5,history,24.78770446777344,2026-04-12 22:27:26.643000+00:00,21.0,2026-04-13 07:27:26.643000+09:00,0.04416671752929688,0.07142857142857142,0.0,3.0,0.8805778503417969,3.0,0.07142857142857142,0.8805778503417969
618.6666870117188,2026-04-12T22:27:32.575Z,2026-05-12T22:27:31.636Z,41.28577423095703,2.0,,3.0,나쁨,심각한 악화 (나쁨-3),3.0,,0.0,0.0,1.031,0.862,0.4003,47,47,computed_co2_regression,3.0,17.66666603088379,history,24.7850341796875,2026-04-12 22:27:32.575000+00:00,21.0,2026-04-13 07:27:32.575000+09:00,0.046666717529296874,0.07619045802525111,0.0,3.0,0.8714225769042969,3.0,0.07619045802525111,0.8714225769042969
619.6666870117188,2026-04-12T22:27:40.742Z,2026-05-12T22:27:39.637Z,41.28577423095703,2.0,,3.0,나쁨,심각한 악화 (나쁨-3),3.0,,0.0,0.0,1.149,0.8591,0.4749,47,47,computed_co2_regression,3.0,18.0,history,24.781028747558597,2026-04-12 22:27:40.742000+00:00,21.08333396911621,2026-04-13 07:27:40.742000+09:00,0.049166717529296876,0.08571428571428572,0.0,3.0,0.8714225769042969,3.0,0.08571428571428572,0.8714225769042969
621.0,2026-04-12T22:27:46.609Z,2026-05-12T22:27:45.651Z,41.18182373046875,2.0,,3.0,나쁨,심각한 악화 (나쁨-3),3.0,,0.0,0.0,1.235,0.8588,0.5324,47,47,computed_co2_regression,3.0,18.16666603088379,history,24.778358459472656,2026-04-12 22:27:46.609000+00:00,21.16666603088379,2026-04-13 07:27:46.609000+09:00,0.0525,0.0904761723109654,0.0,3.0,0.881817626953125,3.0,0.0904761723109654,0.881817626953125
622.0,2026-04-12T22:27:52.539Z,2026-05-12T22:27:51.603Z,41.193267822265625,2.0,,3.0,나쁨,심각한 악화 (나쁨-3),3.0,,0.0,0.0,1.265,0.8592,0.5529,47,47,computed_co2_regression,3.0,18.5,history,24.7850341796875,2026-04-12 22:27:52.539000+00:00,21.25,2026-04-13 07:27:52.539000+09:00,0.055,0.1,0.0,3.0,0.8806732177734375,3.0,0.1,0.8806732177734375
622.6666870117188,2026-04-12T22:27:58.684Z,2026-05-12T22:27:57.754Z,41.144630432128906,2.0,,3.0,나쁨,심각한 악화 (나쁨-3),3.0,,0.0,0.0,1.212,0.8595,0.5177,47,47,computed_co2_regression,3.0,19.0,history,24.798385620117188,2026-04-12 22:27:58.684000+00:00,21.33333396911621,2026-04-13 07:27:58.684000+09:00,0.056666717529296876,0.11428571428571428,0.0,3.0,0.8855369567871094,3.0,0.11428571428571428,0.8855369567871094
623.0,2026-04-12T22:28:05.488Z,2026-05-12T22:28:04.520Z,41.06070709228516,2.0,,3.0,나쁨,심각한 악화 (나쁨-3),3.0,,0.0,0.0,1.116,0.8595,0.4463,47,47,computed_co2_regression,3.0,19.5,history,24.79571533203125,2026-04-12 22:28:05.488000+00:00,21.41666603088379,2026-04-13 07:28:05.488000+09:00,0.0575,0.12857142857142856,0.0,3.0,0.8939292907714836,3.0,0.12857142857142856,0.8939292907714836
